Name,Link,Image_link,Price,Number_of_ratings,Discount,Fastes_delivery_date,Bought_last_month,About_iten,Fastest_delivery_date,About_item
Apple iPhone 13 (128GB) - Starlight,https://www.amazon.in/Apple-iPhone-13-128GB-Starlight/dp/B09G9D8KRQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3MuV4EX2bqVAighnAy-84Sux0azo-YUnRPl3hYlM0bWyW1EVH-ptseMuAqV58yUxhkZEmlEuIHpUCOtYEq99PbYwO2oxYzyRUPL0dPGMAgs9XmGfyPFAXXhWzCsO3qi0JcS2jsCvSR3FPU5EFDiUkHtRyZobuAJLtoHKSk8ikmJdd7sUVzEnpSPgw7_oNwVUtNchuV4e2fw6WgO4GJw1vMs.h1LSUhAZfXkTNtFHZoDZbMCY3O_rqJKrMRMUBgqVl38&dib_tag=se&keywords=iphone+12&qid=1710040038&sr=8-3,,"52,999","25,055 ratings",-12%,,3K+ bought,,"Tuesday, 12 March","15 cm (6.1-inch) Super Retina XDR displayCinematic mode adds shallow depth of field and shifts focus automatically in your videosAdvanced dual-camera system with 12MP Wide and Ultra Wide cameras; Photographic Styles, Smart HDR 4, Night mode, 4K Dolby Vision HDR recording12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recordingA15 Bionic chip for lightning-fast performance"
Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=sr_1_4?dib=eyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3MuV4EX2bqVAighnAy-84Sux0azo-YUnRPl3hYlM0bWyW1EVH-ptseMuAqV58yUxhkZEmlEuIHpUCOtYEq99PbYwO2oxYzyRUPL0dPGMAgs9XmGfyPFAXXhWzCsO3qi0JcS2jsCvSR3FPU5EFDiUkHtRyZobuAJLtoHKSk8ikmJdd7sUVzEnpSPgw7_oNwVUtNchuV4e2fw6WgO4GJw1vMs.h1LSUhAZfXkTNtFHZoDZbMCY3O_rqJKrMRMUBgqVl38&dib_tag=se&keywords=iphone+12&qid=1710040038&sr=8-4,,"52,090","25,055 ratings",-13%,,3K+ bought,,"Tuesday, 12 March","15 cm (6.1-inch) Super Retina XDR displayCinematic mode adds shallow depth of field and shifts focus automatically in your videosAdvanced dual-camera system with 12MP Wide and Ultra Wide cameras; Photographic Styles, Smart HDR 4, Night mode, 4K Dolby Vision HDR recording12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recordingA15 Bionic chip for lightning-fast performance"
Apple iPhone 13 (128GB) - Midnight,https://www.amazon.in/Apple-iPhone-13-128GB-Midnight/dp/B09G9HD6PD/ref=sr_1_5?dib=eyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3MuV4EX2bqVAighnAy-84Sux0azo-YUnRPl3hYlM0bWyW1EVH-ptseMuAqV58yUxhkZEmlEuIHpUCOtYEq99PbYwO2oxYzyRUPL0dPGMAgs9XmGfyPFAXXhWzCsO3qi0JcS2jsCvSR3FPU5EFDiUkHtRyZobuAJLtoHKSk8ikmJdd7sUVzEnpSPgw7_oNwVUtNchuV4e2fw6WgO4GJw1vMs.h1LSUhAZfXkTNtFHZoDZbMCY3O_rqJKrMRMUBgqVl38&dib_tag=se&keywords=iphone+12&qid=1710040038&sr=8-5,,"52,999","25,055 ratings",-12%,,2K+,,"Tuesday, 12 March","15 cm (6.1-inch) Super Retina XDR displayCinematic mode adds shallow depth of field and shifts focus automatically in your videosAdvanced dual-camera system with 12MP Wide and Ultra Wide cameras; Photographic Styles, Smart HDR 4, Night mode, 4K Dolby Vision HDR recording12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recordingA15 Bionic chip for lightning-fast performance"
Apple iPhone 12 (64GB) - White,https://www.amazon.in/New-Apple-iPhone-12-64GB/dp/B08L5VJYV7/ref=sr_1_6?dib=eyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3MuV4EX2bqVAighnAy-84Sux0azo-YUnRPl3hYlM0bWyW1EVH-ptseMuAqV58yUxhkZEmlEuIHpUCOtYEq99PbYwO2oxYzyRUPL0dPGMAgs9XmGfyPFAXXhWzCsO3qi0JcS2jsCvSR3FPU5EFDiUkHtRyZobuAJLtoHKSk8ikmJdd7sUVzEnpSPgw7_oNwVUtNchuV4e2fw6WgO4GJw1vMs.h1LSUhAZfXkTNtFHZoDZbMCY3O_rqJKrMRMUBgqVl38&dib_tag=se&keywords=iphone+12&qid=1710040038&sr=8-6,,"44,999","32,175 ratings",-10%,,50+,,"Tuesday, 12 March","6.1-inch (15.5 cm diagonal) Super Retina XDR displayCeramic Shield, tougher than any smartphone glassA14 Bionic chip, the fastest chip ever in a smartphoneAdvanced dual-camera system with 12MP Ultra Wide and Wide cameras; Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recordingIndustry-leading IP68 water resistanceSupports MagSafe accessories for easy attach and faster wireless chargingiOS with redesigned widgets on the Home screen, all-new App Library, App Clips and more"
Apple iPhone 13 (128GB) - Green,https://www.amazon.in/Apple-iPhone-13-128GB-Green/dp/B09V4B6K53/ref=sr_1_7?dib=eyJ2IjoiMSJ9.OCoJgZ8ghdguKvc7Ozmt3MuV4EX2bqVAighnAy-84Sux0azo-YUnRPl3hYlM0bWyW1EVH-ptseMuAqV58yUxhkZEmlEuIHpUCOtYEq99PbYwO2oxYzyRUPL0dPGMAgs9XmGfyPFAXXhWzCsO3qi0JcS2jsCvSR3FPU5EFDiUkHtRyZobuAJLtoHKSk8ikmJdd7sUVzEnpSPgw7_oNwVUtNchuV4e2fw6WgO4GJw1vMs.h1LSUhAZfXkTNtFHZoDZbMCY3O_rqJKrMRMUBgqVl38&dib_tag=se&keywords=iphone+12&qid=1710040038&sr=8-7,,"52,999","25,055 ratings",-12%,,1K+,,"Tuesday, 12 March","15 cm (6.1-inch) Super Retina XDR displayCinematic mode adds shallow depth of field and shifts focus automatically in your videosAdvanced dual-camera system with 12MP Wide and Ultra Wide cameras; Photographic Styles, Smart HDR 4, Night mode, 4K Dolby Vision HDR recording12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recordingA15 Bionic chip for lightning-fast performance"
