Name,Link,Image_link,Price,Number_of_ratings,Discount,Fastes_delivery_date,Bought_last_month,About_iten,Fastest_delivery_date,About_item
"ASUS Vivobook 15, Intel Core i3-1220P 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Alexa Built-in/FP Sensor/Blue/1.7 kg), X1502ZA-EJ381WS",https://www.amazon.in/ASUS-Vivobook-i3-1220P-Integrated-X1502ZA-EJ381WS/dp/B0BLP23H71/ref=sr_1_3?dib=eyJ2IjoiMSJ9.kQ8nzX2l3Y7QX477NdSCPtbrlQ_pQaiXEX7PY7wPxckoh8rr_a1V8KQtx23l-DH9FHRLGdUpfqHWFS4KG7xXPFXfYFn95Cibr2-dU2viH9G293aOW5jAJZuiAGltjy8S-bcxFRKL7APxZ0Nc0u0uyQOo-dv5EWNjWf2gOaK5VrIAs0Nu-zYpb3VdgUReo0l9asNGcEedHoKtJKqvV1kETJPeFp8kNJ1vNvA_6e3Em58.7_mTzl9bAB1kPqNJeZFmFuvCyQY7Nl74eu_REAQUeV8&dib_tag=se&keywords=asus&qid=1710043580&sr=8-3,,"38,990",480 ratings,-36%,,500+,,"Tuesday, 12 March","Processor: 12th Gen Intel Core i3-1220P Processor 1.1 GHz (12M Cache, up to 4.4 GHz, 10 cores)Memory: 8GB DDR4 on board 3200MHz with | Storage: 512GB M.2 NVMe PCIe 3.0 SSDDisplay: 15.6-inch (39.62cm), FHD (1920 x 1080) 16:9 aspect ratio, 220nits, 60Hz refresh rate, 45% NTSC color gamut, Anti-glare displayGraphics: Integrated Intel UHD GraphicsOperating System: Windows 11 Home with Lifetime validity | Software Included: Office Home and Student 2021 included with Lifetime validityDesign: 1.80 ~ 1.84 cm Thin | 1.70 kg weight | Thin and Light Laptop | 42WHrs, 3S1P, 3-cell Li-ion | Up to 6 hours battery life ;Note: Battery life depends on conditions of usageKeyboard: Chiclet Keyboard"
"ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W",https://www.amazon.in/ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_4?dib=eyJ2IjoiMSJ9.kQ8nzX2l3Y7QX477NdSCPtbrlQ_pQaiXEX7PY7wPxckoh8rr_a1V8KQtx23l-DH9FHRLGdUpfqHWFS4KG7xXPFXfYFn95Cibr2-dU2viH9G293aOW5jAJZuiAGltjy8S-bcxFRKL7APxZ0Nc0u0uyQOo-dv5EWNjWf2gOaK5VrIAs0Nu-zYpb3VdgUReo0l9asNGcEedHoKtJKqvV1kETJPeFp8kNJ1vNvA_6e3Em58.7_mTzl9bAB1kPqNJeZFmFuvCyQY7Nl74eu_REAQUeV8&dib_tag=se&keywords=asus&qid=1710043580&sr=8-4,,"19,990","1,349 ratings",-41%,,500+ bought,,"Tuesday, 12 March","Processor: Intel Celeron N4020, 1.1 GHz base speed, Up to 2.8 GHz Turbo Speed, 2 cores, 2 Threads, 4MB CacheMemory & Storage: 4GB SO-DIMM DDR4 2400MHz RAM, Support up to 8GB using 1x SO-DIMM Slot with | Storage: 256GB M.2 NVMe PCIe SSDDisplay: 15.6-inch (39.62 cms), LED-Backlit LCD, HD (1366 x 768) 16:9, 220nits, NanoEdge bezel, Anti-Glare Plane with 45% NTSC, 82% Screen-To-Body RatioOperating System: Pre-loaded Windows 11 Home with lifetime validityDesign & battery: Up to 19.9mm Thin | NanoEdge Bezels | Thin and Light Laptop | Laptop weight: 1.8 kg | 37WHrs, 2-cell Li-ion battery | Up to 6 hours battery life ;Note: Battery life depends on conditions of usageKeyboard: Chiclet Keyboard with 1.4mm Key TravelI/O Ports: 1x HDMI 1.4 | 1x 3.5mm Combo Audio Jack | 1x USB 3.2 Gen 1 Type-A | 1x USB 3.2 Gen 1 Type-C | 2x USB 2.0 Type-AOther: Wi-Fi 5 (802.11ac) (Dual band) 1*1 | VGA webcamera without privacy shutter | Built-in speaker | Built-in microphone"
"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB/512GB/Win11/Office 2021/Blue/1.7 kg), X1502ZA-EJ541WS",https://www.amazon.in/ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ541WS/dp/B0C7H6SSC8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.kQ8nzX2l3Y7QX477NdSCPtbrlQ_pQaiXEX7PY7wPxckoh8rr_a1V8KQtx23l-DH9FHRLGdUpfqHWFS4KG7xXPFXfYFn95Cibr2-dU2viH9G293aOW5jAJZuiAGltjy8S-bcxFRKL7APxZ0Nc0u0uyQOo-dv5EWNjWf2gOaK5VrIAs0Nu-zYpb3VdgUReo0l9asNGcEedHoKtJKqvV1kETJPeFp8kNJ1vNvA_6e3Em58.7_mTzl9bAB1kPqNJeZFmFuvCyQY7Nl74eu_REAQUeV8&dib_tag=se&keywords=asus&qid=1710043580&sr=8-5,,"52,990",145 ratings,-31%,,100+ bought,,"Tuesday, 12 March","Processor: Intel Core i5-12500H Processor 2.5 GHz (18M Cache, up to 4.5 GHz, 4P+8E cores)Memory: 16GB (8GB DDR4 on board + 8GB SO-DIMM) DDR4 | Storage: 512GB M.2 NVMe PCIe 3.0 SSDDisplay: 15.6-inch (35.56cm), FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 220nits, 45% NTSC color gamut,Operating System: Pre-loaded Windows 11 Home with lifetime validity | Software Included: Pre-Installed Office Home and Student 2021Design: 1.99 ~ 1.99 cm | 1.70 kg | Thin and Light Laptop | 42WHrs, 3S1P, 3-cell Li-ion | Up to 6 hours battery life ;Note: Battery life depends on conditions of usageKeyboard: Backlit Chiclet KeyboardI/O Port: 1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4, 1x 3.5mm Combo Audio Jack, 1x DC-inOther: 720p HD camera with privacy shutter | Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth 5.3 Wireless Card | SonicMaster | Built-in speaker |Built-in microphone | with Cortana support"
