Name,Link,Image_link,Price,Number_of_ratings,Discount,Fastes_delivery_date,Bought_last_month,About_iten,Fastest_delivery_date,About_item
"Apple 2023 MacBook Pro (14-inch, M3 chip with 8‑core CPU and 10‑core GPU, 8GB Unified Memory, 1TB) - Space Grey",https://www.amazon.in/Apple-MacBook-14-inch-10%E2%80%91core-Unified/dp/B0CM5R4FP5/ref=sr_1_3?dib=eyJ2IjoiMSJ9.UbmsuOEFJqWmb33fMoYuDzY88vBBr0GjMdlYmULI-3sLXJvvI9kqa24hMHZ2Q85CTkAZxkiTMfm-EQJcLmoa6KP7Dttd679Z-yJ8Ct5jGyBZAY8um-44f3gsIntbEMjSXhocaNOQ6rZL-QdDJVbGsQMDZpYl-iXtoUydTUpDl2jIlAN0scH6L-VKtK2bht9fuc6NZA99DmbdCYTb_pqvEvhw_rYzhj0v4s6Z1Nb8hPM.iMBBaMtgmn1QYGwSDQ4hM5h14GV6MPmdf3lfcvG17c0&dib_tag=se&keywords=macbook&qid=1710041675&sr=8-3,,,8 ratings,"₹1,89,900",,,,"Tuesday, 12 March","SUPERCHARGED BY M3 — With an 8-core CPU and 10-core GPU using hardware-accelerated ray tracing, the Apple M3 chip can help you blaze through everyday multitasking and take on pro projects like editing thousands of photos or 4K video.UP TO 22 HOURS OF BATTERY LIFE — Go all day thanks to the power-efficient design of Apple silicon. MacBook Pro delivers the same exceptional performance whether it’s running on battery or plugged in.RESPONSIVE UNIFIED MEMORY AND STORAGE — Up to 24GB of unified memory makes everything you do fast and fluid. Up to 2TB of superfast SSD storage launches apps and opens files in an instant.BRILLIANT PRO DISPLAY — The 35.97 cm (14.2″) Liquid Retina XDR display features Extreme Dynamic Range; 1,000 nits of sustained brightness for stunning HDR content; up to 600 nits of brightness for SDR content; and pro reference modes for doing your best work on the go.FULLY COMPATIBLE — All your pro apps run lightning fast — including Adobe Creative Cloud, Apple Xcode, Microsoft 365, Medivis SurgicalAR and many of your favourite iPhone and iPad apps. And with macOS, work and play on your Mac are even more powerful. Elevate your presence on video calls. Access information in all-new ways. And discover even more ways to personalise your Mac.ADVANCED CAMERA AND AUDIO — Look sharp and sound great with a 1080p FaceTime HD camera, a studio-quality three-mic array and a six-speaker sound system with Spatial Audio.CONNECT IT ALL — This MacBook Pro features a MagSafe charging port, two Thunderbolt / USB 4 ports, an SDXC card slot, an HDMI port and a headphone jack. Enjoy fast wireless connectivity with Wi-Fi 6E and Bluetooth 5.3. Supports one external display."
"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_4?dib=eyJ2IjoiMSJ9.UbmsuOEFJqWmb33fMoYuDzY88vBBr0GjMdlYmULI-3sLXJvvI9kqa24hMHZ2Q85CTkAZxkiTMfm-EQJcLmoa6KP7Dttd679Z-yJ8Ct5jGyBZAY8um-44f3gsIntbEMjSXhocaNOQ6rZL-QdDJVbGsQMDZpYl-iXtoUydTUpDl2jIlAN0scH6L-VKtK2bht9fuc6NZA99DmbdCYTb_pqvEvhw_rYzhj0v4s6Z1Nb8hPM.iMBBaMtgmn1QYGwSDQ4hM5h14GV6MPmdf3lfcvG17c0&dib_tag=se&keywords=macbook&qid=1710041675&sr=8-4,,"74,990","6,734 ratings",-19%,,300+ bought,,"Tuesday, 12 March","All-Day Battery Life – Go longer than ever with up to 18 hours of battery life.Powerful Performance – Take on everything from professional-quality editing to action-packed gaming with ease. The Apple M1 chip with an 8-core CPU delivers up to 3.5x faster performance than the previous generation while using way less power.Superfast Memory – 8GB of unified memory makes your entire system speedy and responsive. That way it can support tasks like memory-hogging multitab browsing and opening a huge graphic file quickly and easily.Stunning Display – With a 13.3-inch/33.74 cm Retina display, images come alive with new levels of realism. Text is sharp and clear, and colors are more vibrant.Why Mac – Easy to learn. Easy to set up. Astoundingly powerful. Intuitive. Packed with apps to use right out of the box. Mac is designed to let you work, play, and create like never before."
"Apple 2023 MacBook Air Laptop with M2 chip: 38.91 cm (15.3 inch) Liquid Retina Display, 8GB RAM 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera,Touch ID. Works with iPhone/iPad; Silver",https://www.amazon.in/Apple-2023-MacBook-Laptop-chip/dp/B0C75JKRWQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.UbmsuOEFJqWmb33fMoYuDzY88vBBr0GjMdlYmULI-3sLXJvvI9kqa24hMHZ2Q85CTkAZxkiTMfm-EQJcLmoa6KP7Dttd679Z-yJ8Ct5jGyBZAY8um-44f3gsIntbEMjSXhocaNOQ6rZL-QdDJVbGsQMDZpYl-iXtoUydTUpDl2jIlAN0scH6L-VKtK2bht9fuc6NZA99DmbdCYTb_pqvEvhw_rYzhj0v4s6Z1Nb8hPM.iMBBaMtgmn1QYGwSDQ4hM5h14GV6MPmdf3lfcvG17c0&dib_tag=se&keywords=macbook&qid=1710041675&sr=8-5,,"1,34,900",53 ratings,-13%,,,,"Wednesday, 13 March","IMPRESSIVELY BIG, IMPOSSIBLY THIN — The 15‑inch MacBook Air makes room for more of what you love with a spacious Liquid Retina display. The durable 100% recycled aluminium enclosure is strikingly thin and light.SUPERCHARGED BY M2 — Get more done faster with a powerful 8-core CPU, 10-core GPU and up to 24GB of unified memory.UP TO 18 HOURS OF BATTERY LIFE — Go all day with the power-efficient performance of the Apple M2 chip. (Battery life varies by use and configuration. See our website for more information.)SPACIOUS, BEAUTIFUL DISPLAY — The high-resolution, 38.91-centimetre (15.3-inch) Liquid Retina display features 500 nits of brightness, P3 wide colour and support for one billion colours for vibrant images and incredible detail. (The display on the 15-inch MacBook Air has rounded corners at the top. When measured as a standard rectangular shape, the screen is 38.91 centimetres (15.3 inches) diagonally (actual viewable area is less.)SILENT DESIGN — MacBook Air features a fanless design that runs completely silent, no matter the task."
"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Gold",https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5XSG8Z/ref=sr_1_6?dib=eyJ2IjoiMSJ9.UbmsuOEFJqWmb33fMoYuDzY88vBBr0GjMdlYmULI-3sLXJvvI9kqa24hMHZ2Q85CTkAZxkiTMfm-EQJcLmoa6KP7Dttd679Z-yJ8Ct5jGyBZAY8um-44f3gsIntbEMjSXhocaNOQ6rZL-QdDJVbGsQMDZpYl-iXtoUydTUpDl2jIlAN0scH6L-VKtK2bht9fuc6NZA99DmbdCYTb_pqvEvhw_rYzhj0v4s6Z1Nb8hPM.iMBBaMtgmn1QYGwSDQ4hM5h14GV6MPmdf3lfcvG17c0&dib_tag=se&keywords=macbook&qid=1710041675&sr=8-6,,"74,990","6,734 ratings",-25%,,100+ bought,,"Tuesday, 12 March","All-Day Battery Life – Go longer than ever with up to 18 hours of battery life.Powerful Performance – Take on everything from professional-quality editing to action-packed gaming with ease. The Apple M1 chip with an 8-core CPU delivers up to 3.5x faster performance than the previous generation while using way less power.Superfast Memory – 8GB of unified memory makes your entire system speedy and responsive. That way it can support tasks like memory-hogging multitab browsing and opening a huge graphic file quickly and easily.Stunning Display – With a 13.3-inch/33.74 cm Retina display, images come alive with new levels of realism. Text is sharp and clear, and colors are more vibrant.Why Mac – Easy to learn. Easy to set up. Astoundingly powerful. Intuitive. Packed with apps to use right out of the box. Mac is designed to let you work, play, and create like never before."
"Apple 2023 MacBook Air (15-inch, M2 chip with 8‑core CPU and 10‑core GPU, 8GB Unified Memory, 256GB) - Midnight",https://www.amazon.in/Apple-MacBook-15-inch-10%E2%80%91core-Unified/dp/B0C75YN898/ref=sr_1_7?dib=eyJ2IjoiMSJ9.UbmsuOEFJqWmb33fMoYuDzY88vBBr0GjMdlYmULI-3sLXJvvI9kqa24hMHZ2Q85CTkAZxkiTMfm-EQJcLmoa6KP7Dttd679Z-yJ8Ct5jGyBZAY8um-44f3gsIntbEMjSXhocaNOQ6rZL-QdDJVbGsQMDZpYl-iXtoUydTUpDl2jIlAN0scH6L-VKtK2bht9fuc6NZA99DmbdCYTb_pqvEvhw_rYzhj0v4s6Z1Nb8hPM.iMBBaMtgmn1QYGwSDQ4hM5h14GV6MPmdf3lfcvG17c0&dib_tag=se&keywords=macbook&qid=1710041675&sr=8-7,,"1,15,900",53 ratings,-14%,,,,"Tuesday, 12 March","IMPRESSIVELY BIG, IMPOSSIBLY THIN — The 15‑inch MacBook Air makes room for more of what you love with a spacious Liquid Retina display. The durable 100% recycled aluminium enclosure is strikingly thin and light.SUPERCHARGED BY M2 — Get more done faster with a powerful 8-core CPU, 10-core GPU and up to 24GB of unified memory.UP TO 18 HOURS OF BATTERY LIFE — Go all day with the power-efficient performance of the Apple M2 chip. (Battery life varies by use and configuration. See our website for more information.)SPACIOUS, BEAUTIFUL DISPLAY — The high-resolution, 38.91-centimetre (15.3-inch) Liquid Retina display features 500 nits of brightness, P3 wide colour and support for one billion colours for vibrant images and incredible detail. (The display on the 15-inch MacBook Air has rounded corners at the top. When measured as a standard rectangular shape, the screen is 38.91 centimetres (15.3 inches) diagonally (actual viewable area is less.)SILENT DESIGN — MacBook Air features a fanless design that runs completely silent, no matter the task."
