Name,Link,Price,Number_of_ratings
Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=sr_1_3?dib=eyJ2IjoiMSJ9.eFa-TvbcC_zjCq_5PD2KO7esruSMHK5ZeG6Ar_e-Gy5piRsfqUDXAr6MP3uGF_Ca8ohI8BpyfVexO3q6OWC95YbigRUskoOxs8NPYj0keXCCo0Kjs6j0YsLNWTP11QP8V521z5OydxGL7hIi-GZj50JADbHsOAGjf6TSW38X5dkzEpQU1UvCNkox8HdPgJvsLN5fMRYARYE7bjK1CnOLjSSR6pTl8hWdIB06eSW_NhY.LMEPBzDUqhLxTi04q6keCIPcXgSkcCd6aaOqwmCrk_I&dib_tag=se&keywords=iphone+13&qid=1709966629&sr=8-3,"52,090","25,032"
Apple iPhone 13 (128GB) - Starlight,https://www.amazon.in/Apple-iPhone-13-128GB-Starlight/dp/B09G9D8KRQ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.eFa-TvbcC_zjCq_5PD2KO7esruSMHK5ZeG6Ar_e-Gy5piRsfqUDXAr6MP3uGF_Ca8ohI8BpyfVexO3q6OWC95YbigRUskoOxs8NPYj0keXCCo0Kjs6j0YsLNWTP11QP8V521z5OydxGL7hIi-GZj50JADbHsOAGjf6TSW38X5dkzEpQU1UvCNkox8HdPgJvsLN5fMRYARYE7bjK1CnOLjSSR6pTl8hWdIB06eSW_NhY.LMEPBzDUqhLxTi04q6keCIPcXgSkcCd6aaOqwmCrk_I&dib_tag=se&keywords=iphone+13&qid=1709966629&sr=8-4,"52,999","25,032"
Apple iPhone 13 (128GB) - Midnight,https://www.amazon.in/Apple-iPhone-13-128GB-Midnight/dp/B09G9HD6PD/ref=sr_1_5?dib=eyJ2IjoiMSJ9.eFa-TvbcC_zjCq_5PD2KO7esruSMHK5ZeG6Ar_e-Gy5piRsfqUDXAr6MP3uGF_Ca8ohI8BpyfVexO3q6OWC95YbigRUskoOxs8NPYj0keXCCo0Kjs6j0YsLNWTP11QP8V521z5OydxGL7hIi-GZj50JADbHsOAGjf6TSW38X5dkzEpQU1UvCNkox8HdPgJvsLN5fMRYARYE7bjK1CnOLjSSR6pTl8hWdIB06eSW_NhY.LMEPBzDUqhLxTi04q6keCIPcXgSkcCd6aaOqwmCrk_I&dib_tag=se&keywords=iphone+13&qid=1709966629&sr=8-5,"52,999","25,032"
Apple iPhone 13 (128GB) - Green,https://www.amazon.in/Apple-iPhone-13-128GB-Green/dp/B09V4B6K53/ref=sr_1_6?dib=eyJ2IjoiMSJ9.eFa-TvbcC_zjCq_5PD2KO7esruSMHK5ZeG6Ar_e-Gy5piRsfqUDXAr6MP3uGF_Ca8ohI8BpyfVexO3q6OWC95YbigRUskoOxs8NPYj0keXCCo0Kjs6j0YsLNWTP11QP8V521z5OydxGL7hIi-GZj50JADbHsOAGjf6TSW38X5dkzEpQU1UvCNkox8HdPgJvsLN5fMRYARYE7bjK1CnOLjSSR6pTl8hWdIB06eSW_NhY.LMEPBzDUqhLxTi04q6keCIPcXgSkcCd6aaOqwmCrk_I&dib_tag=se&keywords=iphone+13&qid=1709966629&sr=8-6,"52,999","25,032"
Apple iPhone 13 (256GB) - Starlight,https://www.amazon.in/Apple-iPhone-13-256GB-Starlight/dp/B09G9BFKZN/ref=sr_1_7?dib=eyJ2IjoiMSJ9.eFa-TvbcC_zjCq_5PD2KO7esruSMHK5ZeG6Ar_e-Gy5piRsfqUDXAr6MP3uGF_Ca8ohI8BpyfVexO3q6OWC95YbigRUskoOxs8NPYj0keXCCo0Kjs6j0YsLNWTP11QP8V521z5OydxGL7hIi-GZj50JADbHsOAGjf6TSW38X5dkzEpQU1UvCNkox8HdPgJvsLN5fMRYARYE7bjK1CnOLjSSR6pTl8hWdIB06eSW_NhY.LMEPBzDUqhLxTi04q6keCIPcXgSkcCd6aaOqwmCrk_I&dib_tag=se&keywords=iphone+13&qid=1709966629&sr=8-7,"61,900","25,032"
