Name,Link,Image_link,Price,Number_of_ratings,Discount,Fastes_delivery_date,Bought_last_month,About_iten,Fastest_delivery_date,About_item
Apple iPhone 13 (128GB) - Starlight,https://www.amazon.in/Apple-iPhone-13-128GB-Starlight/dp/B09G9D8KRQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.g7LoPbGVvKmfedlSLT4p0JxAgPfpPZBsqhWqcX8YEpcEA-JJU07oD29wGI-YkNLnl7ht2Zhb1Wz9gL01Anq6fhaXxjEsniR7dyumKKWOMm6NGOLeYFViiaGXbGicurNh2Z4Ou60MtEQQdbgXn4ztKnK7qNyUNn2tAVkDpLSnWiZdnAfiz98pHS2o8JoFaLreLnfnguweIziPbqku0Iq6RX4oHKQB46mRu6SSNzq4HuY.BSK3-Z3_EOL3iV-dpMFNER5Eiem7G4_0tE7N_Ij6FBE&dib_tag=se&keywords=iphone+8&qid=1710024148&sr=8-3,,"52,090","25,054 ratings",-13%,,3K+ bought in past month,,"Wednesday, 13 March","15 cm (6.1-inch) Super Retina XDR displayCinematic mode adds shallow depth of field and shifts focus automatically in your videosAdvanced dual-camera system with 12MP Wide and Ultra Wide cameras; Photographic Styles, Smart HDR 4, Night mode, 4K Dolby Vision HDR recording12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recordingA15 Bionic chip for lightning-fast performance"
Apple iPhone 13 (128GB) - Green,https://www.amazon.in/Apple-iPhone-13-128GB-Green/dp/B09V4B6K53/ref=sr_1_4?dib=eyJ2IjoiMSJ9.g7LoPbGVvKmfedlSLT4p0JxAgPfpPZBsqhWqcX8YEpcEA-JJU07oD29wGI-YkNLnl7ht2Zhb1Wz9gL01Anq6fhaXxjEsniR7dyumKKWOMm6NGOLeYFViiaGXbGicurNh2Z4Ou60MtEQQdbgXn4ztKnK7qNyUNn2tAVkDpLSnWiZdnAfiz98pHS2o8JoFaLreLnfnguweIziPbqku0Iq6RX4oHKQB46mRu6SSNzq4HuY.BSK3-Z3_EOL3iV-dpMFNER5Eiem7G4_0tE7N_Ij6FBE&dib_tag=se&keywords=iphone+8&qid=1710024148&sr=8-4,,"52,999","25,054 ratings",-12%,,1K+,,"Tuesday, 12 March","15 cm (6.1-inch) Super Retina XDR displayCinematic mode adds shallow depth of field and shifts focus automatically in your videosAdvanced dual-camera system with 12MP Wide and Ultra Wide cameras; Photographic Styles, Smart HDR 4, Night mode, 4K Dolby Vision HDR recording12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recordingA15 Bionic chip for lightning-fast performance"
"TECNO POP 8 (Mystery White,(8GB*+64GB)|90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor",https://www.amazon.in/Mystery-Speakers-Fingerprint-Octa-Core-Processor/dp/B0CQ7SHTF4/ref=sr_1_5?dib=eyJ2IjoiMSJ9.g7LoPbGVvKmfedlSLT4p0JxAgPfpPZBsqhWqcX8YEpcEA-JJU07oD29wGI-YkNLnl7ht2Zhb1Wz9gL01Anq6fhaXxjEsniR7dyumKKWOMm6NGOLeYFViiaGXbGicurNh2Z4Ou60MtEQQdbgXn4ztKnK7qNyUNn2tAVkDpLSnWiZdnAfiz98pHS2o8JoFaLreLnfnguweIziPbqku0Iq6RX4oHKQB46mRu6SSNzq4HuY.BSK3-Z3_EOL3iV-dpMFNER5Eiem7G4_0tE7N_Ij6FBE&dib_tag=se&keywords=iphone+8&qid=1710024148&sr=8-5,,"6,599",666 ratings,-15%,,2K+ bought in past month,,"Tuesday, 12 March","With up to a massive 8GB* of RAM & 64GB of ROM | Includes a dedicated SD card slot for up to 1TB expansion {*With Memory Fusion}6.56-inch Dot-in Display | Dynamic Port to track all notifications | 90Hz refresh rate for smooth scrolling experienceSegment-first Dual Stereo Speakers equipped with DTS technology | Experience up to an impressive 400%* increase in volume, delivering a fully immersive sound {*Basis internal test data under standard condition}Ultra-Fast Side Edge Fingerprint Sensor with Anti-oil | 0.2 sec Faster unlock | 0.65 sec Face unlockMassive 5000mAh battery with our versatile Type-C charger featuring a 10W output | Improved Battery optimizationRobust Octa-Core T606 processor provides incredibly fast performance | Arm Cortex A-75 CPU| No Room for hanging complaints12MP Dual Rear Camera f/1.85 Aperture | 8MP Dual Flashlight Front Camera f/2.0 Aperture| HDR Photography | Super Night Photography | AI Auto Scene Detection | Time-Lapse8.55mm Ultra sleek design| Premium Dot-in style Front | Superior Texture"
Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=sr_1_6?dib=eyJ2IjoiMSJ9.g7LoPbGVvKmfedlSLT4p0JxAgPfpPZBsqhWqcX8YEpcEA-JJU07oD29wGI-YkNLnl7ht2Zhb1Wz9gL01Anq6fhaXxjEsniR7dyumKKWOMm6NGOLeYFViiaGXbGicurNh2Z4Ou60MtEQQdbgXn4ztKnK7qNyUNn2tAVkDpLSnWiZdnAfiz98pHS2o8JoFaLreLnfnguweIziPbqku0Iq6RX4oHKQB46mRu6SSNzq4HuY.BSK3-Z3_EOL3iV-dpMFNER5Eiem7G4_0tE7N_Ij6FBE&dib_tag=se&keywords=iphone+8&qid=1710024148&sr=8-6,,"52,090","25,054 ratings",-13%,,3K+,,"Tuesday, 12 March","15 cm (6.1-inch) Super Retina XDR displayCinematic mode adds shallow depth of field and shifts focus automatically in your videosAdvanced dual-camera system with 12MP Wide and Ultra Wide cameras; Photographic Styles, Smart HDR 4, Night mode, 4K Dolby Vision HDR recording12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recordingA15 Bionic chip for lightning-fast performance"
Apple iPhone 15 (128 GB) - Blue,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT/ref=sr_1_7?dib=eyJ2IjoiMSJ9.g7LoPbGVvKmfedlSLT4p0JxAgPfpPZBsqhWqcX8YEpcEA-JJU07oD29wGI-YkNLnl7ht2Zhb1Wz9gL01Anq6fhaXxjEsniR7dyumKKWOMm6NGOLeYFViiaGXbGicurNh2Z4Ou60MtEQQdbgXn4ztKnK7qNyUNn2tAVkDpLSnWiZdnAfiz98pHS2o8JoFaLreLnfnguweIziPbqku0Iq6RX4oHKQB46mRu6SSNzq4HuY.BSK3-Z3_EOL3iV-dpMFNER5Eiem7G4_0tE7N_Ij6FBE&dib_tag=se&keywords=iphone+8&qid=1710024148&sr=8-7,,"72,200",813 ratings,-10%,,500+,,"Tuesday, 12 March","DYNAMIC ISLAND COMES TO IPHONE 15 — Dynamic Island bubbles up alerts and Live Activities — so you don’t miss them while you’re doing something else. You can see who’s calling, track your next ride, check your flight status, and so much more.INNOVATIVE DESIGN — iPhone 15 features a durable color-infused glass and aluminum design. It’s splash, water, and dust resistant. The Ceramic Shield front is tougher than any smartphone glass. And the 6.1"" Super Retina XDR display is up to 2x brighter in the sun compared to iPhone 14.48MP MAIN CAMERA WITH 2X TELEPHOTO — The 48MP Main camera shoots in super-high resolution. So it’s easier than ever to take standout photos with amazing detail. The 2x optical-quality Telephoto lets you frame the perfect close-up.NEXT-GENERATION PORTRAITS — Capture portraits with dramatically more detail and color. Just tap to shift the focus between subjects — even after you take the shot.POWERHOUSE A16 BIONIC CHIP — The superfast chip powers advanced features like computational photography, fluid Dynamic Island transitions, and Voice Isolation for phone calls. And A16 Bionic is incredibly efficient to help deliver great all-day battery life."
