Name,Link,Image_link,Price,Number_of_ratings,Discount,Fastes_delivery_date,Bought_last_month,About_iten,Fastest_delivery_date,About_item
OpenTech Tempered Glass Screen Protector Compatible For Iphone 6 / 6S Edge To Edge Coverage With Easy Installation Kit (White Color) for Smartphone,https://www.amazon.in/OpenTech%C2%AE-Tempered-Screen-Protector-Installation/dp/B07NZ26S4P/ref=sr_1_3?dib=eyJ2IjoiMSJ9.VJENqRomvagf32Xn54joNkn6OqzZjIiqtYS1gDzBRTVf84GiU9f5Ud1ZjMVP4MToLVLl0AHusSUo_eH5seQw4MZVj8UT8bJKn-Vcf1UHiyhvNmIDXheqdRVwxPPFwAs7TvmDpWUCVV2cCIGtfbw__y0nJQ1B9-8z0AtT3bWOJE2HI-_bA4XTnM6z5IeYA2sMvNX4CvzE-x9cZTzPdZmdbekK0dB6MllAG0mln0j5PA8.8hCsNSrWLbB-awQXkS9W4sYE8V_c8JiiRJLWD6vp_Pg&dib_tag=se&keywords=iphone+6&qid=1710023318&sr=8-3,,251.0,"1,373 ratings",-75%,,,,"Tuesday, 12 March","Item Hardness: 9H Hardness, precise laser cut, 2.5D rounded edges, HD Clarity, Bubble free adhesive and easy to installMaterial Type: Tempered Glass SiliconIncluded Components: Tempered Glass Screen Protector and Installation KitWarranty: 3 months warranty on the product (Warranty card Inside the package)Compatible Device: iPhone 6, iPhone 6s (4.7 Inch Size WHITE COLOR)"
Amazon Brand - Solimo Back Case Cover for iPhone 6 / 6s | Compatible for iPhone 6 / 6s Back Case Cover | Clear Case for iPhone 6 / 6s with Camera Protection | (TPU + PC | Matte Black),https://www.amazon.in/Amazon-Brand-Solimo-Compatible-Protection/dp/B0BJKFKHYV/ref=sr_1_4?dib=eyJ2IjoiMSJ9.VJENqRomvagf32Xn54joNkn6OqzZjIiqtYS1gDzBRTVf84GiU9f5Ud1ZjMVP4MToLVLl0AHusSUo_eH5seQw4MZVj8UT8bJKn-Vcf1UHiyhvNmIDXheqdRVwxPPFwAs7TvmDpWUCVV2cCIGtfbw__y0nJQ1B9-8z0AtT3bWOJE2HI-_bA4XTnM6z5IeYA2sMvNX4CvzE-x9cZTzPdZmdbekK0dB6MllAG0mln0j5PA8.8hCsNSrWLbB-awQXkS9W4sYE8V_c8JiiRJLWD6vp_Pg&dib_tag=se&keywords=iphone+6&qid=1710023318&sr=8-4,,169.0,24 ratings,-66%,,50+ bought,,"Tuesday, 12 March","[Compatibility] Designed For Apple iPhone 6 / 6s & This Case Supports Wireless Charging.[Precise Fit] An excellent fit for your Device. All cut-outs and buttons are precisely designed to access all your device's features.[Protection] Edge to Edge protection for your Mobile. Complete protection of Mobile Frame in the event of falls and bumps.[Material] The Hybrid Edge technology fusing made of Superior Quality TPU Material, Clear Transparent back panel made from Imported Polycarbonate that does not get Yellow and gives a Premium Touch & feel.[Design] Professionally Designed with Raised Upper Lips to protect your Screen and Camera from Everyday ware and tare / scratches. Ultra slim, light weight Anti Smudge."
VIDO 3D Iron Man Avengers Back Case Cover | 360 Degree Protection | Shock Proof | Screen & Camera Protection | Soft Silicon Rubberised Back Cover for iPhone 6/iPhone 6s,https://www.amazon.in/VIDO-Avengers-Protection-Silicon-Rubberised/dp/B08Y744Q9F/ref=sr_1_5?dib=eyJ2IjoiMSJ9.VJENqRomvagf32Xn54joNkn6OqzZjIiqtYS1gDzBRTVf84GiU9f5Ud1ZjMVP4MToLVLl0AHusSUo_eH5seQw4MZVj8UT8bJKn-Vcf1UHiyhvNmIDXheqdRVwxPPFwAs7TvmDpWUCVV2cCIGtfbw__y0nJQ1B9-8z0AtT3bWOJE2HI-_bA4XTnM6z5IeYA2sMvNX4CvzE-x9cZTzPdZmdbekK0dB6MllAG0mln0j5PA8.8hCsNSrWLbB-awQXkS9W4sYE8V_c8JiiRJLWD6vp_Pg&dib_tag=se&keywords=iphone+6&qid=1710023318&sr=8-5,,198.0,37 ratings,-80%,,,,"Tuesday, 12 March","3D DESIGN | Provide sporty and allegiant look.360 DEGREE PROTECTION | Protect your phone from dirt, dust, scratches and reduces damage from bumps.DISPLAY AND CAMERA PROTECTION | The raised camera edge and the reinforced corners protect your phone camera and display against scratches when it rests face down on surfaces.SUPERIOR QUALITY | Made of high quality TPU & PC material. Affordable, durable, stylish and well made.EASY ACCESS | Precise cutouts enable easy to access all buttons, charging ports and camera."
Enflamo Soft Silicone Slim Back Cover Case for iPhone 6 & 6S (Black),https://www.amazon.in/Enflamo-Silicone-Cover-Apple-iPhone/dp/B01N1WIU6S/ref=sr_1_6?dib=eyJ2IjoiMSJ9.VJENqRomvagf32Xn54joNkn6OqzZjIiqtYS1gDzBRTVf84GiU9f5Ud1ZjMVP4MToLVLl0AHusSUo_eH5seQw4MZVj8UT8bJKn-Vcf1UHiyhvNmIDXheqdRVwxPPFwAs7TvmDpWUCVV2cCIGtfbw__y0nJQ1B9-8z0AtT3bWOJE2HI-_bA4XTnM6z5IeYA2sMvNX4CvzE-x9cZTzPdZmdbekK0dB6MllAG0mln0j5PA8.8hCsNSrWLbB-awQXkS9W4sYE8V_c8JiiRJLWD6vp_Pg&dib_tag=se&keywords=iphone+6&qid=1710023318&sr=8-6,,199,"2,874 ratings",-75%,,100+ bought in past month,,"Tuesday, 12 March","Ultra slim stylish soft back cover for Apple iPhone 6 (4.7'')Premium Logo hole cut which gives stylish look.Protects phone full form all the sides.It keeps the true feeling of iPhone 6 & 6S and preserves its original beauty. Perfect fit to your phone and feels great in your hand.The cases will not get deformed after taking it off and putting it back on multiple times, because it is made from TPU, highly flexible and can against bumps."
Enflamo Soft Silicone Slim Back Cover Case for iPhone 6 & 6S (Blue),https://www.amazon.in/Enflamo-Silicone-Cover-Apple-iPhone/dp/B01N4KWATG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.VJENqRomvagf32Xn54joNkn6OqzZjIiqtYS1gDzBRTVf84GiU9f5Ud1ZjMVP4MToLVLl0AHusSUo_eH5seQw4MZVj8UT8bJKn-Vcf1UHiyhvNmIDXheqdRVwxPPFwAs7TvmDpWUCVV2cCIGtfbw__y0nJQ1B9-8z0AtT3bWOJE2HI-_bA4XTnM6z5IeYA2sMvNX4CvzE-x9cZTzPdZmdbekK0dB6MllAG0mln0j5PA8.8hCsNSrWLbB-awQXkS9W4sYE8V_c8JiiRJLWD6vp_Pg&dib_tag=se&keywords=iphone+6&qid=1710023318&sr=8-7,,,,,,,,,
