Name,Link,Price
"Samsung Galaxy S23 5G (Cream, 8GB Ram, 256GB Storage)",https://www.amazon.in/Samsung-Galaxy-Cream-256GB-Storage/dp/B0BTYVTMT6/ref=sr_1_3?dib=eyJ2IjoiMSJ9.3HiPFGG_dkh1HF-26koLzkF6q91DUDvwks-ZgRMERAr0rbQdTry-4Mo0aTfwAl0_ZKAF1DwvbfRMaCB0yoJbQzfPo_hcO2y852xHx1f6ExVmE1akSLj2OWOvC9u42A3FSoPaRudsOKVh4l8YE5StDwkY3sSa8nVbnEeRGIEdTzLVPSH3SBsxcWpGd34Vo8XeK3KSQcSOECb0s0uEtY3k0z1C8x-WpyOIA8suo5I6ODY.OKU4ITbDCLTDgvbNEitNPwDP4ruytInYLSQeDlNV9oE&dib_tag=se&keywords=samsung+s23&qid=1709964318&sr=8-3,"58,000"
SAMSUNG Galaxy S23 FE 5G (Mint 128 GB Storage) (8 GB RAM),https://www.amazon.in/SAMSUNG-Galaxy-S23-Mint-Storage/dp/B0CJXPYJC3/ref=sr_1_4?dib=eyJ2IjoiMSJ9.3HiPFGG_dkh1HF-26koLzkF6q91DUDvwks-ZgRMERAr0rbQdTry-4Mo0aTfwAl0_ZKAF1DwvbfRMaCB0yoJbQzfPo_hcO2y852xHx1f6ExVmE1akSLj2OWOvC9u42A3FSoPaRudsOKVh4l8YE5StDwkY3sSa8nVbnEeRGIEdTzLVPSH3SBsxcWpGd34Vo8XeK3KSQcSOECb0s0uEtY3k0z1C8x-WpyOIA8suo5I6ODY.OKU4ITbDCLTDgvbNEitNPwDP4ruytInYLSQeDlNV9oE&dib_tag=se&keywords=samsung+s23&qid=1709964318&sr=8-4,"42,779"
"Samsung Galaxy S23 5G (Phantom Black, 8GB, 256GB Storage)",https://www.amazon.in/Samsung-Galaxy-Phantom-Black-Storage/dp/B0BT9FZZKP/ref=sr_1_5?dib=eyJ2IjoiMSJ9.3HiPFGG_dkh1HF-26koLzkF6q91DUDvwks-ZgRMERAr0rbQdTry-4Mo0aTfwAl0_ZKAF1DwvbfRMaCB0yoJbQzfPo_hcO2y852xHx1f6ExVmE1akSLj2OWOvC9u42A3FSoPaRudsOKVh4l8YE5StDwkY3sSa8nVbnEeRGIEdTzLVPSH3SBsxcWpGd34Vo8XeK3KSQcSOECb0s0uEtY3k0z1C8x-WpyOIA8suo5I6ODY.OKU4ITbDCLTDgvbNEitNPwDP4ruytInYLSQeDlNV9oE&dib_tag=se&keywords=samsung+s23&qid=1709964318&sr=8-5,"69,999"
Samsung Galaxy S23 5G Smartphone 256 GB 15.5 cm (6.1 inch) Phantom Black,https://www.amazon.in/Samsung-Galaxy-Smartphone-Phantom-Black/dp/B0BTYV7NTJ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3HiPFGG_dkh1HF-26koLzkF6q91DUDvwks-ZgRMERAr0rbQdTry-4Mo0aTfwAl0_ZKAF1DwvbfRMaCB0yoJbQzfPo_hcO2y852xHx1f6ExVmE1akSLj2OWOvC9u42A3FSoPaRudsOKVh4l8YE5StDwkY3sSa8nVbnEeRGIEdTzLVPSH3SBsxcWpGd34Vo8XeK3KSQcSOECb0s0uEtY3k0z1C8x-WpyOIA8suo5I6ODY.OKU4ITbDCLTDgvbNEitNPwDP4ruytInYLSQeDlNV9oE&dib_tag=se&keywords=samsung+s23&qid=1709964318&sr=8-6,"59,220"
"Samsung Galaxy S23 Ultra 5G (Green, 12GB, 256GB Storage)",https://www.amazon.in/Samsung-Galaxy-Ultra-Green-Storage/dp/B0BTYWFXKC/ref=sr_1_7?dib=eyJ2IjoiMSJ9.3HiPFGG_dkh1HF-26koLzkF6q91DUDvwks-ZgRMERAr0rbQdTry-4Mo0aTfwAl0_ZKAF1DwvbfRMaCB0yoJbQzfPo_hcO2y852xHx1f6ExVmE1akSLj2OWOvC9u42A3FSoPaRudsOKVh4l8YE5StDwkY3sSa8nVbnEeRGIEdTzLVPSH3SBsxcWpGd34Vo8XeK3KSQcSOECb0s0uEtY3k0z1C8x-WpyOIA8suo5I6ODY.OKU4ITbDCLTDgvbNEitNPwDP4ruytInYLSQeDlNV9oE&dib_tag=se&keywords=samsung+s23&qid=1709964318&sr=8-7,"93,998"
