Name,Link,Image_link,Price,Number_of_ratings,Discount,Fastes_delivery_date,Bought_last_month,About_iten,Fastest_delivery_date,About_item
"Fresh Apple Royal Gala Imported (Pack of 4), fresh, 520 gram",https://www.amazon.in/Fresh-Apple-Royal-Gala-Pieces/dp/B07BG7KKG1/ref=sr_1_3_f3_0o_na?dib=eyJ2IjoiMSJ9.PNBbjF5w-IEENzx_kPYQfuxVaQCmFGxgAJVBDQSYznk6fmzJEDhJCH7G6Pg5X4ZaixDsWNkz0VWqwd51C7gunRb-gnbkTW3T7sg533Qq6w3ymQGmiu3z9I2q1whw4pN8Qaht8KjZHh62pzg7kpApQDQyTH65OQ398YocjPOVdJQh-RoamizfMfiDA4niXaq496-40uBb79pyuTqlyf8D4vMrVTufCzelOpaDPA4CSCE.9_FWTHUb_ImiU4JmijF9eSBgmTmMoSSLCBWN3MvtbRk&dib_tag=se&keywords=apple&qid=1710046946&sr=8-3,,,"9,511 ratings","₹197
00",,,,,Standard good quality specifications (130gm/pc)Taste fruity and sweet with light notes of tartness.item_form:whole
Apple Wired EarPods with Lightning Connector,https://www.amazon.in/Apple-Original-MMTN2ZM-Lightning-Connector/dp/B01M1EEPOB/ref=sr_1_4?dib=eyJ2IjoiMSJ9.PNBbjF5w-IEENzx_kPYQfuxVaQCmFGxgAJVBDQSYznk6fmzJEDhJCH7G6Pg5X4ZaixDsWNkz0VWqwd51C7gunRb-gnbkTW3T7sg533Qq6w3ymQGmiu3z9I2q1whw4pN8Qaht8KjZHh62pzg7kpApQDQyTH65OQ398YocjPOVdJQh-RoamizfMfiDA4niXaq496-40uBb79pyuTqlyf8D4vMrVTufCzelOpaDPA4CSCE.9_FWTHUb_ImiU4JmijF9eSBgmTmMoSSLCBWN3MvtbRk&dib_tag=se&keywords=apple&qid=1710046946&sr=8-4,,"1,899","18,515 ratings",-5%,,4K+,,"Tuesday, 12 March","Unlike traditional, circular earbuds, the design of the EarPods is defined by the geometry of the ear. Which makes them more comfortable for more people than any other earbud-style headphones.The speakers inside the EarPods have been engineered to maximize sound output and minimize sound loss, which means you get high-quality audio.The EarPods with Lightning Connector also include a built-in remote that lets you adjust the volume, control the playback of music and video, and answer or end calls with a pinch of the cord.Warranty Description: 1 Year Warranty Provided By The Manufacturer From Date Of Purchase"
New Apple AirTag,https://www.amazon.in/Apple-MX532ZMA-New-AirTag/dp/B0935DN1BN/ref=sr_1_5?dib=eyJ2IjoiMSJ9.PNBbjF5w-IEENzx_kPYQfuxVaQCmFGxgAJVBDQSYznk6fmzJEDhJCH7G6Pg5X4ZaixDsWNkz0VWqwd51C7gunRb-gnbkTW3T7sg533Qq6w3ymQGmiu3z9I2q1whw4pN8Qaht8KjZHh62pzg7kpApQDQyTH65OQ398YocjPOVdJQh-RoamizfMfiDA4niXaq496-40uBb79pyuTqlyf8D4vMrVTufCzelOpaDPA4CSCE.9_FWTHUb_ImiU4JmijF9eSBgmTmMoSSLCBWN3MvtbRk&dib_tag=se&keywords=apple&qid=1710046946&sr=8-5,,,"94,881 ratings","₹3,490",,900+,,"Tuesday, 12 March","Keep track of and find your items alongside friends and devices in the Find My appSimple one-tap setup instantly connects AirTag with your iPhone or iPadPlay a sound on the built-in speaker to help find your things, or just ask Siri for helpPrecision Finding with Ultra Wideband technology leads you right to your nearby AirTag on select iPhone models. Precision Finding compatible with iPhone 11, iPhone 11 Pro, iPhone 11 Pro Max, iPhone 12, iPhone 12 mini, iPhone 12 Pro, and iPhone 12 Pro Max.Find items farther away with the help of hundreds of millions of Apple devices in the Find My networkPut AirTag into Lost Mode to be automatically notified when it’s detected in the Find My networkAll communication with the Find My network is anonymous and encrypted for privacy"
"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)",https://www.amazon.in/Apple-USB-C-Adapter-iPhone-AirPods/dp/B08L5WWFCY/ref=sr_1_6?dib=eyJ2IjoiMSJ9.PNBbjF5w-IEENzx_kPYQfuxVaQCmFGxgAJVBDQSYznk6fmzJEDhJCH7G6Pg5X4ZaixDsWNkz0VWqwd51C7gunRb-gnbkTW3T7sg533Qq6w3ymQGmiu3z9I2q1whw4pN8Qaht8KjZHh62pzg7kpApQDQyTH65OQ398YocjPOVdJQh-RoamizfMfiDA4niXaq496-40uBb79pyuTqlyf8D4vMrVTufCzelOpaDPA4CSCE.9_FWTHUb_ImiU4JmijF9eSBgmTmMoSSLCBWN3MvtbRk&dib_tag=se&keywords=apple&qid=1710046946&sr=8-6,,"1,599","82,235 ratings",-16%,,20K+ bought,,"Tuesday, 12 March","The Apple 20W USB‑C Power Adapter offers fast, efficient charging at home, in the office, or on the go.iPhone Compatability: iPhone 12 Pro, iPhone 12 Pro Max, iPhone 12 mini, iPhone 12, iPhone 11 Pro, iPhone 11 Pro Max, iPhone 11, iPhone SE (2nd generation), iPhone XS, iPhone XS Max, iPhone XR, iPhone X, iPhone 8, iPhone 8 PlusiPad Compatability: iPad Pro 12.9-inch (4th generation), iPad Pro 12.9-inch (3rd generation), iPad Pro 12.9-inch (2nd generation), iPad Pro 12.9-inch (1st generation), iPad Pro 11-inch (2nd generation), iPad Pro 11-inch (1st generation), iPad Pro 10.5-inch, iPad Air (4th generation), iPad Air (3rd generation), iPad (8th generation), iPad (7th generation), iPad mini (5th generation)AirPods Compatability: AirPods Max, AirPods Pro, AirPods With Wireless Charging Case, AirPods With Charging CaseCharging cable sold separately."
Apple EarPods with 3.5mm Headphone Plug,https://www.amazon.in/Apple-Original-MNHF2ZM-Earpods-Headphone/dp/B06XDLJL26/ref=sr_1_7?dib=eyJ2IjoiMSJ9.PNBbjF5w-IEENzx_kPYQfuxVaQCmFGxgAJVBDQSYznk6fmzJEDhJCH7G6Pg5X4ZaixDsWNkz0VWqwd51C7gunRb-gnbkTW3T7sg533Qq6w3ymQGmiu3z9I2q1whw4pN8Qaht8KjZHh62pzg7kpApQDQyTH65OQ398YocjPOVdJQh-RoamizfMfiDA4niXaq496-40uBb79pyuTqlyf8D4vMrVTufCzelOpaDPA4CSCE.9_FWTHUb_ImiU4JmijF9eSBgmTmMoSSLCBWN3MvtbRk&dib_tag=se&keywords=apple&qid=1710046946&sr=8-7,,"1,699","29,769 ratings",-11%,,2K+ bought in past month,,"Tuesday, 12 March","Unlike traditional, circular earbuds, the design of the EarPods is defined by the geometry of the ear. Which makes them more comfortable for more people than any other earbud-style headphones.The speakers inside the EarPods have been engineered to maximize sound output and minimize sound loss, which means you get high-quality audio.The EarPods also include a built-in remote that lets you adjust the volume, control the playback of music and video, and answer or end calls with a pinch of the cord.Warranty Description: 1 Year Warranty"
