Name,Link,Image_link,Price,Number_of_ratings,Discount,Fastes_delivery_date,Bought_last_month,About_iten,Fastest_delivery_date,About_item
Apple iPhone 15 (128 GB) - Blue,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.6no31yilL6abjQh1c2KNlPPVvQu6yAugtEyGPEohrVvX6-Z_YfKh0arrEePiEGDN2wn9VDf3TVwxSBeqCy4TmjC5Uc82kPYTGFVaqFCMW12y8nMcFDHdeRltS1o_78sr6jlqABD8kKiBS7q5FfzTKwETnRr3nMSXrnmfoifMMCJi76DfMcDgLiDazLMca_Ng-ITvFgRCvVR2Vbur5g3Py_RREGBxM23xiICLFQwbGNU.ddmyLZr_bxBovEvF48BiCZaTmm-U1us6a5pOqGfHscY&dib_tag=se&keywords=iphone&qid=1710027660&sr=8-3,,"72,200",813 ratings,-10%,,500+ bought in past month,,"Tuesday, 12 March","DYNAMIC ISLAND COMES TO IPHONE 15 — Dynamic Island bubbles up alerts and Live Activities — so you don’t miss them while you’re doing something else. You can see who’s calling, track your next ride, check your flight status, and so much more.INNOVATIVE DESIGN — iPhone 15 features a durable color-infused glass and aluminum design. It’s splash, water, and dust resistant. The Ceramic Shield front is tougher than any smartphone glass. And the 6.1"" Super Retina XDR display is up to 2x brighter in the sun compared to iPhone 14.48MP MAIN CAMERA WITH 2X TELEPHOTO — The 48MP Main camera shoots in super-high resolution. So it’s easier than ever to take standout photos with amazing detail. The 2x optical-quality Telephoto lets you frame the perfect close-up.NEXT-GENERATION PORTRAITS — Capture portraits with dramatically more detail and color. Just tap to shift the focus between subjects — even after you take the shot.POWERHOUSE A16 BIONIC CHIP — The superfast chip powers advanced features like computational photography, fluid Dynamic Island transitions, and Voice Isolation for phone calls. And A16 Bionic is incredibly efficient to help deliver great all-day battery life."
Apple iPhone 14 (128 GB) - Midnight,https://www.amazon.in/Apple-iPhone-14-128GB-Midnight/dp/B0BDHX8Z63/ref=sr_1_4?dib=eyJ2IjoiMSJ9.6no31yilL6abjQh1c2KNlPPVvQu6yAugtEyGPEohrVvX6-Z_YfKh0arrEePiEGDN2wn9VDf3TVwxSBeqCy4TmjC5Uc82kPYTGFVaqFCMW12y8nMcFDHdeRltS1o_78sr6jlqABD8kKiBS7q5FfzTKwETnRr3nMSXrnmfoifMMCJi76DfMcDgLiDazLMca_Ng-ITvFgRCvVR2Vbur5g3Py_RREGBxM23xiICLFQwbGNU.ddmyLZr_bxBovEvF48BiCZaTmm-U1us6a5pOqGfHscY&dib_tag=se&keywords=iphone&qid=1710027660&sr=8-4,,"58,999","4,628 ratings",-16%,,100+,,"Tuesday, 12 March","15.40 cm (6.1-inch) Super Retina XDR displayAdvanced camera system for better photos in any lightCinematic mode now in 4K Dolby Vision up to 30 fpsAction mode for smooth, steady, handheld videosVital safety technology — Crash Detection calls for help when you can’tAll-day battery life and up to 20 hours of video playbackIndustry-leading durability features with Ceramic Shield and water resistance"
Apple iPhone 13 (128GB) - Green,https://www.amazon.in/Apple-iPhone-13-128GB-Green/dp/B09V4B6K53/ref=sr_1_5?dib=eyJ2IjoiMSJ9.6no31yilL6abjQh1c2KNlPPVvQu6yAugtEyGPEohrVvX6-Z_YfKh0arrEePiEGDN2wn9VDf3TVwxSBeqCy4TmjC5Uc82kPYTGFVaqFCMW12y8nMcFDHdeRltS1o_78sr6jlqABD8kKiBS7q5FfzTKwETnRr3nMSXrnmfoifMMCJi76DfMcDgLiDazLMca_Ng-ITvFgRCvVR2Vbur5g3Py_RREGBxM23xiICLFQwbGNU.ddmyLZr_bxBovEvF48BiCZaTmm-U1us6a5pOqGfHscY&dib_tag=se&keywords=iphone&qid=1710027660&sr=8-5,,"52,999","25,054 ratings",-12%,,1K+,,"Tuesday, 12 March","15 cm (6.1-inch) Super Retina XDR displayCinematic mode adds shallow depth of field and shifts focus automatically in your videosAdvanced dual-camera system with 12MP Wide and Ultra Wide cameras; Photographic Styles, Smart HDR 4, Night mode, 4K Dolby Vision HDR recording12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recordingA15 Bionic chip for lightning-fast performance"
Apple iPhone 15 Plus (128 GB) - Black,https://www.amazon.in/Apple-iPhone-15-Plus-128/dp/B0CHXCR9CX/ref=sr_1_6?dib=eyJ2IjoiMSJ9.6no31yilL6abjQh1c2KNlPPVvQu6yAugtEyGPEohrVvX6-Z_YfKh0arrEePiEGDN2wn9VDf3TVwxSBeqCy4TmjC5Uc82kPYTGFVaqFCMW12y8nMcFDHdeRltS1o_78sr6jlqABD8kKiBS7q5FfzTKwETnRr3nMSXrnmfoifMMCJi76DfMcDgLiDazLMca_Ng-ITvFgRCvVR2Vbur5g3Py_RREGBxM23xiICLFQwbGNU.ddmyLZr_bxBovEvF48BiCZaTmm-U1us6a5pOqGfHscY&dib_tag=se&keywords=iphone&qid=1710027660&sr=8-6,,"82,999",406 ratings,-8%,,200+ bought,,"Tuesday, 12 March","DYNAMIC ISLAND COMES TO IPHONE 15 — Dynamic Island bubbles up alerts and Live Activities — so you don’t miss them while you’re doing something else. You can see who’s calling, track your next ride, check your flight status, and so much more.INNOVATIVE DESIGN — iPhone 15 Plus features a durable color-infused glass and aluminum design. It’s splash, water, and dust resistant. The Ceramic Shield front is tougher than any smartphone glass. And the 6.7"" Super Retina XDR display is up to 2x brighter in the sun compared to iPhone 14.48MP MAIN CAMERA WITH 2X TELEPHOTO — The 48MP Main camera shoots in super-high resolution. So it’s easier than ever to take standout photos with amazing detail. The 2x optical-quality Telephoto lets you frame the perfect close-up.NEXT-GENERATION PORTRAITS — Capture portraits with dramatically more detail and color. Just tap to shift the focus between subjects — even after you take the shot.POWERHOUSE A16 BIONIC CHIP — The superfast chip powers advanced features like computational photography, fluid Dynamic Island transitions, and Voice Isolation for phone calls. And A16 Bionic is incredibly efficient to help deliver great all-day battery life."
Apple iPhone 15 Pro (256 GB) - Natural Titanium,https://www.amazon.in/Apple-iPhone-15-Pro-256/dp/B0CHX5J2ND/ref=sr_1_7?dib=eyJ2IjoiMSJ9.6no31yilL6abjQh1c2KNlPPVvQu6yAugtEyGPEohrVvX6-Z_YfKh0arrEePiEGDN2wn9VDf3TVwxSBeqCy4TmjC5Uc82kPYTGFVaqFCMW12y8nMcFDHdeRltS1o_78sr6jlqABD8kKiBS7q5FfzTKwETnRr3nMSXrnmfoifMMCJi76DfMcDgLiDazLMca_Ng-ITvFgRCvVR2Vbur5g3Py_RREGBxM23xiICLFQwbGNU.ddmyLZr_bxBovEvF48BiCZaTmm-U1us6a5pOqGfHscY&dib_tag=se&keywords=iphone&qid=1710027660&sr=8-7,,,,,,,,,
