Name,Link,Price,Number_of_ratings
Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=sr_1_3?dib=eyJ2IjoiMSJ9.eFa-TvbcC_zjCq_5PD2KO7esruSMHK5ZeG6Ar_e-Gy5piRsfqUDXAr6MP3uGF_Ca8ohI8BpyfVexO3q6OWC95YbigRUskoOxs8NPYj0keXDvJfW4FMbYYY2d-WHRv7xC4v7wSEeewdRLVUd99msErcRTW1WoTf8DkUbE-tTQkSG9GPX_rRTiPJ0Iyzt8IvcT_BJRvIP4dOoO83yhNLG-Cl16k-o454s2-I8CYvMlO1M.uH1IMOo69M01oE7R8uuucZpPfhZYfYtmn1DMt_m9OmY&dib_tag=se&keywords=iphone+13&qid=1709980418&sr=8-3,"52,090","25,033"
Apple iPhone 13 (128GB) - Starlight,https://www.amazon.in/Apple-iPhone-13-128GB-Starlight/dp/B09G9D8KRQ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.eFa-TvbcC_zjCq_5PD2KO7esruSMHK5ZeG6Ar_e-Gy5piRsfqUDXAr6MP3uGF_Ca8ohI8BpyfVexO3q6OWC95YbigRUskoOxs8NPYj0keXDvJfW4FMbYYY2d-WHRv7xC4v7wSEeewdRLVUd99msErcRTW1WoTf8DkUbE-tTQkSG9GPX_rRTiPJ0Iyzt8IvcT_BJRvIP4dOoO83yhNLG-Cl16k-o454s2-I8CYvMlO1M.uH1IMOo69M01oE7R8uuucZpPfhZYfYtmn1DMt_m9OmY&dib_tag=se&keywords=iphone+13&qid=1709980418&sr=8-4,"52,999","25,033"
Apple iPhone 13 (128GB) - Midnight,https://www.amazon.in/Apple-iPhone-13-128GB-Midnight/dp/B09G9HD6PD/ref=sr_1_5?dib=eyJ2IjoiMSJ9.eFa-TvbcC_zjCq_5PD2KO7esruSMHK5ZeG6Ar_e-Gy5piRsfqUDXAr6MP3uGF_Ca8ohI8BpyfVexO3q6OWC95YbigRUskoOxs8NPYj0keXDvJfW4FMbYYY2d-WHRv7xC4v7wSEeewdRLVUd99msErcRTW1WoTf8DkUbE-tTQkSG9GPX_rRTiPJ0Iyzt8IvcT_BJRvIP4dOoO83yhNLG-Cl16k-o454s2-I8CYvMlO1M.uH1IMOo69M01oE7R8uuucZpPfhZYfYtmn1DMt_m9OmY&dib_tag=se&keywords=iphone+13&qid=1709980418&sr=8-5,"52,999","25,033"
Apple iPhone 13 (128GB) - Green,https://www.amazon.in/Apple-iPhone-13-128GB-Green/dp/B09V4B6K53/ref=sr_1_6?dib=eyJ2IjoiMSJ9.eFa-TvbcC_zjCq_5PD2KO7esruSMHK5ZeG6Ar_e-Gy5piRsfqUDXAr6MP3uGF_Ca8ohI8BpyfVexO3q6OWC95YbigRUskoOxs8NPYj0keXDvJfW4FMbYYY2d-WHRv7xC4v7wSEeewdRLVUd99msErcRTW1WoTf8DkUbE-tTQkSG9GPX_rRTiPJ0Iyzt8IvcT_BJRvIP4dOoO83yhNLG-Cl16k-o454s2-I8CYvMlO1M.uH1IMOo69M01oE7R8uuucZpPfhZYfYtmn1DMt_m9OmY&dib_tag=se&keywords=iphone+13&qid=1709980418&sr=8-6,"52,999","25,033"
Apple iPhone 13 (256GB) - Starlight,https://www.amazon.in/Apple-iPhone-13-256GB-Starlight/dp/B09G9BFKZN/ref=sr_1_7?dib=eyJ2IjoiMSJ9.eFa-TvbcC_zjCq_5PD2KO7esruSMHK5ZeG6Ar_e-Gy5piRsfqUDXAr6MP3uGF_Ca8ohI8BpyfVexO3q6OWC95YbigRUskoOxs8NPYj0keXDvJfW4FMbYYY2d-WHRv7xC4v7wSEeewdRLVUd99msErcRTW1WoTf8DkUbE-tTQkSG9GPX_rRTiPJ0Iyzt8IvcT_BJRvIP4dOoO83yhNLG-Cl16k-o454s2-I8CYvMlO1M.uH1IMOo69M01oE7R8uuucZpPfhZYfYtmn1DMt_m9OmY&dib_tag=se&keywords=iphone+13&qid=1709980418&sr=8-7,"61,900","25,033"
