Name,Link,Image_link,Price,Number_of_ratings,Discount,Fastes_delivery_date,Bought_last_month,About_iten,Fastest_delivery_date,About_item
Apple iPhone 15 (128 GB) - Blue,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.HDzz0gTHWiwr0D8-oMe4s_o9Pv5BVaBr7eg1H1LaijFGuMFAIAhtDPs__hL_WndY01y8sBpVvzpq13Nb7SQGYPvW-TTbvhngxDMi2q5yISaznbfIkr4vA1b2W4w0fUFyUqN2tsJI3U6x-T8G6ESbYNP6MXJuo5RTj4kntqgyPZ6DDGOrTfsU8VE5ahVHPEqVzwhDGHXaSFTEDEfH59QeXprEg91xVR_9pMj7FBTDIqA.ocYXaEv2LCoFQ2cnu0Ti8EpNp9zi8-eh5fi0kIKrVuk&dib_tag=se&keywords=iphone+10&qid=1710024052&sr=8-3,,"72,200",813 ratings,-10%,,500+ bought,,"Tuesday, 12 March","DYNAMIC ISLAND COMES TO IPHONE 15 — Dynamic Island bubbles up alerts and Live Activities — so you don’t miss them while you’re doing something else. You can see who’s calling, track your next ride, check your flight status, and so much more.INNOVATIVE DESIGN — iPhone 15 features a durable color-infused glass and aluminum design. It’s splash, water, and dust resistant. The Ceramic Shield front is tougher than any smartphone glass. And the 6.1"" Super Retina XDR display is up to 2x brighter in the sun compared to iPhone 14.48MP MAIN CAMERA WITH 2X TELEPHOTO — The 48MP Main camera shoots in super-high resolution. So it’s easier than ever to take standout photos with amazing detail. The 2x optical-quality Telephoto lets you frame the perfect close-up.NEXT-GENERATION PORTRAITS — Capture portraits with dramatically more detail and color. Just tap to shift the focus between subjects — even after you take the shot.POWERHOUSE A16 BIONIC CHIP — The superfast chip powers advanced features like computational photography, fluid Dynamic Island transitions, and Voice Isolation for phone calls. And A16 Bionic is incredibly efficient to help deliver great all-day battery life."
"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Black, 12GB, 512GB Storage)",https://www.amazon.in/Samsung-Galaxy-Smartphone-Titanium-Storage/dp/B0CS5Y7H6T/ref=sr_1_4?dib=eyJ2IjoiMSJ9.HDzz0gTHWiwr0D8-oMe4s_o9Pv5BVaBr7eg1H1LaijFGuMFAIAhtDPs__hL_WndY01y8sBpVvzpq13Nb7SQGYPvW-TTbvhngxDMi2q5yISaznbfIkr4vA1b2W4w0fUFyUqN2tsJI3U6x-T8G6ESbYNP6MXJuo5RTj4kntqgyPZ6DDGOrTfsU8VE5ahVHPEqVzwhDGHXaSFTEDEfH59QeXprEg91xVR_9pMj7FBTDIqA.ocYXaEv2LCoFQ2cnu0Ti8EpNp9zi8-eh5fi0kIKrVuk&dib_tag=se&keywords=iphone+10&qid=1710024052&sr=8-4,,"1,39,999",37 ratings,-3%,,100+ bought,,"Tuesday, 12 March","Meet Galaxy S24 Ultra, the ultimate form of Galaxy Ultra with a new titanium exterior and a 17.25cm (6.8"") flat display. It's an absolute marvel of design.The legacy of Galaxy Note is alive and well. Write, tap and navigate with precision your fingers wish they had on the new, flat display.With the most megapixels on a smartphone and AI processing, Galaxy S24 Ultra sets the industry standard for image quality every time you hit the shutter. What's more, the new ProVisual engine recognizes objects — improving colour tone, reducing noise and bringing out detail.A new way to search is here with Circle to Search. While scrolling your fav social network, use your S Pen or finger to circle something and get Google Search results.Victory can be yours with the new Snapdragon 8 Gen 3 for Galaxy. Faster processing gives you the power you need for all the gameplay you want. Then, manifest graphic effects in real time with ray tracing for hyper-realistic shadows and reflections."
Apple iPhone 12 (64GB) - White,https://www.amazon.in/New-Apple-iPhone-12-64GB/dp/B08L5VJYV7/ref=sr_1_5?dib=eyJ2IjoiMSJ9.HDzz0gTHWiwr0D8-oMe4s_o9Pv5BVaBr7eg1H1LaijFGuMFAIAhtDPs__hL_WndY01y8sBpVvzpq13Nb7SQGYPvW-TTbvhngxDMi2q5yISaznbfIkr4vA1b2W4w0fUFyUqN2tsJI3U6x-T8G6ESbYNP6MXJuo5RTj4kntqgyPZ6DDGOrTfsU8VE5ahVHPEqVzwhDGHXaSFTEDEfH59QeXprEg91xVR_9pMj7FBTDIqA.ocYXaEv2LCoFQ2cnu0Ti8EpNp9zi8-eh5fi0kIKrVuk&dib_tag=se&keywords=iphone+10&qid=1710024052&sr=8-5,,"44,999","32,175 ratings",-10%,,50+ bought in past month,,"Wednesday, 13 March","6.1-inch (15.5 cm diagonal) Super Retina XDR displayCeramic Shield, tougher than any smartphone glassA14 Bionic chip, the fastest chip ever in a smartphoneAdvanced dual-camera system with 12MP Ultra Wide and Wide cameras; Night mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR recording12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recordingIndustry-leading IP68 water resistanceSupports MagSafe accessories for easy attach and faster wireless chargingiOS with redesigned widgets on the Home screen, all-new App Library, App Clips and more"
Apple iPhone 15 (256 GB) - Green,https://www.amazon.in/Apple-iPhone-15-256-GB/dp/B0CHX41VNZ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.HDzz0gTHWiwr0D8-oMe4s_o9Pv5BVaBr7eg1H1LaijFGuMFAIAhtDPs__hL_WndY01y8sBpVvzpq13Nb7SQGYPvW-TTbvhngxDMi2q5yISaznbfIkr4vA1b2W4w0fUFyUqN2tsJI3U6x-T8G6ESbYNP6MXJuo5RTj4kntqgyPZ6DDGOrTfsU8VE5ahVHPEqVzwhDGHXaSFTEDEfH59QeXprEg91xVR_9pMj7FBTDIqA.ocYXaEv2LCoFQ2cnu0Ti8EpNp9zi8-eh5fi0kIKrVuk&dib_tag=se&keywords=iphone+10&qid=1710024052&sr=8-6,,"81,600",813 ratings,-9%,,100+,,"Tuesday, 12 March","DYNAMIC ISLAND COMES TO IPHONE 15 — Dynamic Island bubbles up alerts and Live Activities — so you don’t miss them while you’re doing something else. You can see who’s calling, track your next ride, check your flight status, and so much more.INNOVATIVE DESIGN — iPhone 15 features a durable color-infused glass and aluminum design. It’s splash, water, and dust resistant. The Ceramic Shield front is tougher than any smartphone glass. And the 6.1"" Super Retina XDR display is up to 2x brighter in the sun compared to iPhone 14.48MP MAIN CAMERA WITH 2X TELEPHOTO — The 48MP Main camera shoots in super-high resolution. So it’s easier than ever to take standout photos with amazing detail. The 2x optical-quality Telephoto lets you frame the perfect close-up.NEXT-GENERATION PORTRAITS — Capture portraits with dramatically more detail and color. Just tap to shift the focus between subjects — even after you take the shot.POWERHOUSE A16 BIONIC CHIP — The superfast chip powers advanced features like computational photography, fluid Dynamic Island transitions, and Voice Isolation for phone calls. And A16 Bionic is incredibly efficient to help deliver great all-day battery life."
Apple iPhone 13 (128GB) - Starlight,https://www.amazon.in/Apple-iPhone-13-128GB-Starlight/dp/B09G9D8KRQ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.HDzz0gTHWiwr0D8-oMe4s_o9Pv5BVaBr7eg1H1LaijFGuMFAIAhtDPs__hL_WndY01y8sBpVvzpq13Nb7SQGYPvW-TTbvhngxDMi2q5yISaznbfIkr4vA1b2W4w0fUFyUqN2tsJI3U6x-T8G6ESbYNP6MXJuo5RTj4kntqgyPZ6DDGOrTfsU8VE5ahVHPEqVzwhDGHXaSFTEDEfH59QeXprEg91xVR_9pMj7FBTDIqA.ocYXaEv2LCoFQ2cnu0Ti8EpNp9zi8-eh5fi0kIKrVuk&dib_tag=se&keywords=iphone+10&qid=1710024052&sr=8-7,,,,,,,,,
