Name,Link,Image_link,Price,Number_of_ratings,Discount,Fastes_delivery_date,Bought_last_month,About_iten,Fastest_delivery_date,About_item
"Pigeon Healthifry Digital Air Fryer, 360° High Speed Air Circulation Technology 1200 W with Non-Stick 4.2 L Basket - Green",https://www.amazon.in/Pigeon-Healthifry-Circulation-Technology-Non-Stick/dp/B0B8XNPQPN/ref=sr_1_3?dib=eyJ2IjoiMSJ9.RC4maB5mt9ia1M-0nt_pR7x5voP938qY9yJ2bMiutNRH0x-hHXWVAvjiXOVb3f0ogNssJnzdygNQaiNfpAwB5VLUrAwJdUMrAop2dbsUMwp71BUJazwwt6gzN_i4StaAu07S3_wZtFAuTmtmUPQZtH8DAzaGfVc5WbSSORIenmZZZlxyS47auMSeQbC4ADnWdJvpvJzIfK5hDM-BuO1uEYwnmm8_oBmC2SoRuCwDUNg.zpjAaSayX-figi4D2UmoK252k_bfaz_bPYHcDNmrCc8&dib_tag=se&keywords=appliances&qid=1710046570&sr=8-3,,"2,999","5,825 ratings",-50%,,5K+,,"Tuesday, 12 March","Only Air Fryer with Appointment Function used to make fried foods such as meat, pastries, and potato chips.AIR FRYER CAPACITY: 4.2 litre capacity is enough to enjoy your favorite French fries, samosas, and nuggets without having to worryHEALTHIER FRIED FOOD: Pigeon Healthifry Digital Air Fryer is a tool that is used to cook food with 85% less oil which means with only one spoon of oil, you can cook your favorite food items. 360° HIGH SPEED AIR CIRCULARION TECHNOLOGY: Air fryers work by circulating hot air around a food item to create the same crispiness as traditional fried foods.POWERFUL 1200 Watts: It heats up very quickly, cook food evenly and swiftly due to the combined presence of a concentrated heat source and the size and placement of the fan.NON-STICK FOOD BASKET: 4.2 L Food Basket is Non-Stick that will allow food to be brown without sticking to the pan."
Prestige 500 Watts Orion Mixer Grinder with 3 Stainless Steel Jars |2 years warranty| Red & White,https://www.amazon.in/TTK-Prestige-Limited-Grinder-1200ml/dp/B09ZDVL7L8/ref=sr_1_4?dib=eyJ2IjoiMSJ9.RC4maB5mt9ia1M-0nt_pR7x5voP938qY9yJ2bMiutNRH0x-hHXWVAvjiXOVb3f0ogNssJnzdygNQaiNfpAwB5VLUrAwJdUMrAop2dbsUMwp71BUJazwwt6gzN_i4StaAu07S3_wZtFAuTmtmUPQZtH8DAzaGfVc5WbSSORIenmZZZlxyS47auMSeQbC4ADnWdJvpvJzIfK5hDM-BuO1uEYwnmm8_oBmC2SoRuCwDUNg.zpjAaSayX-figi4D2UmoK252k_bfaz_bPYHcDNmrCc8&dib_tag=se&keywords=appliances&qid=1710046570&sr=8-4,,"2,099","2,732 ratings",-46%,,500+ bought in past month,,"Tuesday, 12 March","Ergonomic DesignStrong 500 W MotorSuperior Quality Body3 Super-effcient BladesSturdy Handles, 3 Stainless Steel Jars"
"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. (Silver)",https://www.amazon.in/Pigeon-Electric-Stainless-Shut-off-Feature/dp/B07WMS7TWB/ref=sr_1_5?dib=eyJ2IjoiMSJ9.RC4maB5mt9ia1M-0nt_pR7x5voP938qY9yJ2bMiutNRH0x-hHXWVAvjiXOVb3f0ogNssJnzdygNQaiNfpAwB5VLUrAwJdUMrAop2dbsUMwp71BUJazwwt6gzN_i4StaAu07S3_wZtFAuTmtmUPQZtH8DAzaGfVc5WbSSORIenmZZZlxyS47auMSeQbC4ADnWdJvpvJzIfK5hDM-BuO1uEYwnmm8_oBmC2SoRuCwDUNg.zpjAaSayX-figi4D2UmoK252k_bfaz_bPYHcDNmrCc8&dib_tag=se&keywords=appliances&qid=1710046570&sr=8-5,,599,"160,542 ratings",-52%,,10K+ bought in past month,,"Tuesday, 12 March","CLASSIC DESIGN: The classical mirror polish of the appearance makes your electric kettle unique and aesthetic, which can match any type of kitchen design and 360° swivel base is connected with standard power cord for safe usage and convenient storageCORDLESS POURING: The electric kettle can be easily lifts from its swivel base for easy filling at the sink and graceful serving without the hassle of a power cord; it can also be returned to its power source from any direction, great for right and left-handed users.CONVENIENT: The cordless & BPA-Free electric electric kettle makes a striking presence on any kitchen counter or buffet in preparing and serving and it is easy for storageFAST BOIL: This 1500W electric kettle has concealed heating elements and can boil up to 1.5 litres of water in 5 to 7 minutes, quicker and safer. Start your day with a cup of instant lemon tea, green tea, hot water.EASY CLEAN: Use white vinegar, baking soda, water, cleaning bottle brush and microfiber cloth to clean your electric kettle and keep it looking new.Water Level Indicator: No"
