Name,Link,Image_link,Price,Number_of_ratings,Discount,Fastes_delivery_date,Bought_last_month,About_iten,Fastest_delivery_date,About_item
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),https://www.amazon.in/Samsung-inches-Ready-UA32T4380AKXXL-Glossy/dp/B0B8YTGC23/ref=sr_1_3?dib=eyJ2IjoiMSJ9.cmkUUdaQiQSVBxWxO2Mt34Se8SupfTrb7q9LESeH-xa6XJQO5wgfNrPcyBwOV77yo5ipm11KPqZKglO-84UVWVLSIGQrne6_YH_-NzOF126WrusluJTxuD1GaTq0lmmzbf7Gqpg4TkqalosazNgF7ADUlwSdBIffpS6SksjRqwpTeh6yM5sCt_GfZltp7VwIgSOoaxkGx4gnypKbQRnPKcxWPgmb8m7o74yLnGEFz_Q.MSeFl3NDFJtxdAYUG-5IrNiYtHGyqdWW6TT0COwnrKk&dib_tag=se&keywords=samsung+tv&qid=1710022069&sr=8-3,,"13,490","13,367 ratings",-29%,,1K+ bought,,"Tuesday, 12 March, 7 AM - 3 PM","Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertzConnectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devicesSound : 20 Watts Output | Dolby Digital PlusSmart TV Features : Personal Computer | Screen Share | Music System | Content Guide | Connect Share MovieDisplay : LED Panel | Mega Contrast | PurColor | HD Picture Quality | Slim & Stylish DesignWarranty Information: 1 year comprehensive warranty plus additional 1 years on panel by brand from date of invoice"
Samsung 108 cm (43 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA43AUE65AKXXL (Black),https://www.amazon.in/Samsung-inches-Crystal-Ultra-UA43AUE65AKXXL/dp/B0B15CPR37/ref=sr_1_4?dib=eyJ2IjoiMSJ9.cmkUUdaQiQSVBxWxO2Mt34Se8SupfTrb7q9LESeH-xa6XJQO5wgfNrPcyBwOV77yo5ipm11KPqZKglO-84UVWVLSIGQrne6_YH_-NzOF126WrusluJTxuD1GaTq0lmmzbf7Gqpg4TkqalosazNgF7ADUlwSdBIffpS6SksjRqwpTeh6yM5sCt_GfZltp7VwIgSOoaxkGx4gnypKbQRnPKcxWPgmb8m7o74yLnGEFz_Q.MSeFl3NDFJtxdAYUG-5IrNiYtHGyqdWW6TT0COwnrKk&dib_tag=se&keywords=samsung+tv&qid=1710022069&sr=8-4,,,"11,808 ratings",,,,,,"Resolution : Crystal 4K Ultra HD (3840 x 2160) | Refresh Rate : 50 HertzDisplay: Ultra HD (4k) LED Panel | HDR 10+| One Billion Colors | Auto Game Mode| PurColor | Mega Contrast | UHD DimmingSound: 20 Watts Output | Powerful Speakers with Dolby Digital Plus | Q Symphony| Adaptive SoundModes : Film Mode | Film Maker Mode | Natural Mode | Auto Game ModeVoice Assistance : Compatible with Alexa and BixbyConnectivity: 3 HDMI ports to connect set top box, Blu-ray speakers or a gaming console | 1 USB ports to connect hard drives or other USB devicesSmart TV Features : Prime Video, Netflix, Hotstar, Zee5 and more |TV Plus | Universal Guide | PC Mode | Web Browser | Screen MirroringWarranty Information : 1 year comprehensive warranty on product plus additional 1 year on panel provided by brand from date of invoice"
Samsung 108 cm (43 inches) Crystal iSmart 4K Ultra HD Smart LED TV UA43CUE60AKLXL (Black),https://www.amazon.in/Samsung-inches-Crystal-iSmart-UA43CUE60AKLXL/dp/B0C1GX5RVW/ref=sr_1_5?dib=eyJ2IjoiMSJ9.cmkUUdaQiQSVBxWxO2Mt34Se8SupfTrb7q9LESeH-xa6XJQO5wgfNrPcyBwOV77yo5ipm11KPqZKglO-84UVWVLSIGQrne6_YH_-NzOF126WrusluJTxuD1GaTq0lmmzbf7Gqpg4TkqalosazNgF7ADUlwSdBIffpS6SksjRqwpTeh6yM5sCt_GfZltp7VwIgSOoaxkGx4gnypKbQRnPKcxWPgmb8m7o74yLnGEFz_Q.MSeFl3NDFJtxdAYUG-5IrNiYtHGyqdWW6TT0COwnrKk&dib_tag=se&keywords=samsung+tv&qid=1710022069&sr=8-5,,,"11,808 ratings",,,,,,"Resolution : 4K Ultra HD (3840 x 2160) | Refresh Rate : 50 HertzConnectivity : 3 HDMI ports to connect set top box or gaming console | 1 USB ports to connect hard drives or other USB devices | Ethernet | Wi-fi | BluetoothSound: 20W Output- 2CH | Powerful Speakers | OTS Lite | Adaptive Sound | Dual Audio Support (Bluetooth) | Buds Auto SwitchSmart TV Features : Supported apps: Netflix, Prime Video, YouTube, etc. |Screen mirroring |Universal Guide |Media Home | Tap View | Mobile Camera Support | AI Speaker |Easy Setup | App Casting | Wireless DeX | SmartThings | Smart Hub | IoT Sensor |Web BrowserDisplay : 4K Ultra HD Smart Panel | Crystal Processor 4K | Pur Color | HDR 10+ | Mega Contrast UHD Dimming | 3-Side Bezel-less | Motion Xcelerator | Contrast Enhancer | Filmmaker ModeWarranty Information: 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase"
