reviewer_name,review_title,review
Mr. Perfect,Promising,Nice phone at this price
arjun chauhan,Just ok for all,This phones anyone can choose as a secondary phone which is less price only
Sachin Khetmalis,Phone,Nice quality.
Don't waste your money,Ok,Ok ok
Rajan maurya,Nice product this price,Tecno mobile this price is best phone
Satyanarayana,Cost effective,"Value for money, don't expect too much"
md rahman,Nice look,Nice look good phone 🤳
DINESH JUSTIN,Worth the buy,Worth the product. Easy to use. Comes with screen gaurd and back cover case.
IRFAN KHAN,Super,Pesaa wasol
Anwaar aslam,Good,Best phone low budget my wife very satisfied
ANKUL KUMAR,U can buy,Best phone 📱
Gulshan Sharma,Nice,Worth every penny in this budget
