Name,Link,Price,Number_of_ratings,Discount,Fastes_delivery_date,Bought_last_month,About_iten,Fastest_delivery_date,About_item
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),https://www.amazon.in/Samsung-inches-Ready-UA32T4380AKXXL-Glossy/dp/B0B8YTGC23/ref=sr_1_3?dib=eyJ2IjoiMSJ9.cmkUUdaQiQSVBxWxO2Mt34lAhYBgNcgue9PyPy5g96BL4zL2_dqHoZuZ1Q2lOBNTddIVid_yOp-XwlC7LYRw3r9c5SQDYRSjUAg99IT8xbQAGEhzBnUV-LIiESSkN5B0940zOg8dJcZMtwSvawcDeoilzSzaTvft3F5KmBwtJMKVpaiThHH65lxl_Pc4GUpALup6PW_PB6o3q4W_nbzCwmDMwH3XG08d-UVUiWZVYmI.H9Wx_-EPISRCJuoraCHQHOUzrydvSJ94fusqdegCf3A&dib_tag=se&keywords=samsung+tv&qid=1709989322&sr=8-3,"13,490","13,363 ratings",-29%,,1K+ bought,,"Monday, 11 March, 7 AM - 9 PM","Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertzConnectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devicesSound : 20 Watts Output | Dolby Digital PlusSmart TV Features : Personal Computer | Screen Share | Music System | Content Guide | Connect Share MovieDisplay : LED Panel | Mega Contrast | PurColor | HD Picture Quality | Slim & Stylish DesignWarranty Information: 1 year comprehensive warranty plus additional 1 years on panel by brand from date of invoice"
Samsung 108 cm (43 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA43AUE65AKXXL (Black),https://www.amazon.in/Samsung-inches-Crystal-Ultra-UA43AUE65AKXXL/dp/B0B15CPR37/ref=sr_1_4?dib=eyJ2IjoiMSJ9.cmkUUdaQiQSVBxWxO2Mt34lAhYBgNcgue9PyPy5g96BL4zL2_dqHoZuZ1Q2lOBNTddIVid_yOp-XwlC7LYRw3r9c5SQDYRSjUAg99IT8xbQAGEhzBnUV-LIiESSkN5B0940zOg8dJcZMtwSvawcDeoilzSzaTvft3F5KmBwtJMKVpaiThHH65lxl_Pc4GUpALup6PW_PB6o3q4W_nbzCwmDMwH3XG08d-UVUiWZVYmI.H9Wx_-EPISRCJuoraCHQHOUzrydvSJ94fusqdegCf3A&dib_tag=se&keywords=samsung+tv&qid=1709989322&sr=8-4,"29,490","11,806 ratings",-38%,,,,"Tuesday, 12 March, 7 AM - 3 PM","Resolution : Crystal 4K Ultra HD (3840 x 2160) | Refresh Rate : 50 HertzDisplay: Ultra HD (4k) LED Panel | HDR 10+| One Billion Colors | Auto Game Mode| PurColor | Mega Contrast | UHD DimmingSound: 20 Watts Output | Powerful Speakers with Dolby Digital Plus | Q Symphony| Adaptive SoundModes : Film Mode | Film Maker Mode | Natural Mode | Auto Game ModeVoice Assistance : Compatible with Alexa and BixbyConnectivity: 3 HDMI ports to connect set top box, Blu-ray speakers or a gaming console | 1 USB ports to connect hard drives or other USB devicesSmart TV Features : Prime Video, Netflix, Hotstar, Zee5 and more |TV Plus | Universal Guide | PC Mode | Web Browser | Screen MirroringWarranty Information : 1 year comprehensive warranty on product plus additional 1 year on panel provided by brand from date of invoice"
Samsung 138 cm (55 Inches) Crystal Vision 4K Ultra HD Smart LED TV UA55CUE70AKLXL (Titan Gray),https://www.amazon.in/Samsung-Inches-Crystal-Vision-UA55CUE70AKLXL/dp/B0CN2V8JSQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.cmkUUdaQiQSVBxWxO2Mt34lAhYBgNcgue9PyPy5g96BL4zL2_dqHoZuZ1Q2lOBNTddIVid_yOp-XwlC7LYRw3r9c5SQDYRSjUAg99IT8xbQAGEhzBnUV-LIiESSkN5B0940zOg8dJcZMtwSvawcDeoilzSzaTvft3F5KmBwtJMKVpaiThHH65lxl_Pc4GUpALup6PW_PB6o3q4W_nbzCwmDMwH3XG08d-UVUiWZVYmI.H9Wx_-EPISRCJuoraCHQHOUzrydvSJ94fusqdegCf3A&dib_tag=se&keywords=samsung+tv&qid=1709989322&sr=8-5,,"11,806 ratings",,,,,,Resolution : 4K Ultra HD (3840 x 2160) |Refresh Rate : 50 HertzConnectivity : 3 HDMI ports to connect set top box | 1 USB ports to connect hard drives or other USB devices |Wi-fi | BluetoothSound: 20W Output- 2CH | Powerful Speakers with Q-Symphony | Multiroom Link | Bluetooth Audio | Dual Audio Support (Bluetooth) | Buds Auto SwitchSmart TV Features : Multi Voice Assistant-Bixby and Alexa | Web Browser | SmartThings Hub / Matter Hub / IoT-Sensor Funtionality | Media HomeTap View | Mobile Camera Support | Easy Setup | App Casting | Wireless DexDisplay: Pur Color | One Billion Color | HLG (Hybrid Log Gamma) | Contrast Enhancer | Picture Clarity | Film Mode | Filmmaker ModeWarranty Information: 1 year comprehensive warranty plus additional 1 year on panel by brand from date of invoice
Samsung 108 cm (43 inches) Crystal iSmart 4K Ultra HD Smart LED TV UA43CUE60AKLXL (Black),https://www.amazon.in/Samsung-inches-Crystal-iSmart-UA43CUE60AKLXL/dp/B0C1GX5RVW/ref=sr_1_6?dib=eyJ2IjoiMSJ9.cmkUUdaQiQSVBxWxO2Mt34lAhYBgNcgue9PyPy5g96BL4zL2_dqHoZuZ1Q2lOBNTddIVid_yOp-XwlC7LYRw3r9c5SQDYRSjUAg99IT8xbQAGEhzBnUV-LIiESSkN5B0940zOg8dJcZMtwSvawcDeoilzSzaTvft3F5KmBwtJMKVpaiThHH65lxl_Pc4GUpALup6PW_PB6o3q4W_nbzCwmDMwH3XG08d-UVUiWZVYmI.H9Wx_-EPISRCJuoraCHQHOUzrydvSJ94fusqdegCf3A&dib_tag=se&keywords=samsung+tv&qid=1709989322&sr=8-6,,,,,,,,
Samsung 108 cm (43 Inches) Crystal Vision 4K Ultra HD Smart LED TV UA43CUE70AKLXL (Titan Gray),https://www.amazon.in/Samsung-Inches-Crystal-Vision-UA43CUE70AKLXL/dp/B0CN2LTL18/ref=sr_1_7?dib=eyJ2IjoiMSJ9.cmkUUdaQiQSVBxWxO2Mt34lAhYBgNcgue9PyPy5g96BL4zL2_dqHoZuZ1Q2lOBNTddIVid_yOp-XwlC7LYRw3r9c5SQDYRSjUAg99IT8xbQAGEhzBnUV-LIiESSkN5B0940zOg8dJcZMtwSvawcDeoilzSzaTvft3F5KmBwtJMKVpaiThHH65lxl_Pc4GUpALup6PW_PB6o3q4W_nbzCwmDMwH3XG08d-UVUiWZVYmI.H9Wx_-EPISRCJuoraCHQHOUzrydvSJ94fusqdegCf3A&dib_tag=se&keywords=samsung+tv&qid=1709989322&sr=8-7,,,,,,,,
