Name,Link,Image_link,Price,Number_of_ratings,Discount,Fastes_delivery_date,Bought_last_month,About_iten,Fastest_delivery_date,About_item
Apple iPhone 14 (128 GB) - Blue,https://www.amazon.in/Apple-iPhone-14-128GB-Blue/dp/B0BDK62PDX/ref=sr_1_3?dib=eyJ2IjoiMSJ9.DmkQ0s9_Opq2A5G2HZfn5vI6CfH94gTwuiECHg-YFDeKeS50biksQGx_BlXS1kQlFcgYkDybpqy8XtOEHBqPfuxnWIehxhBcKBzCiJddXXznarT09HiF0CMPdiv0vz9KNQD0-l3ADKKDXdoddPhCERPrz50fuoYOHfR-jSY6PXW8zp2Hxrd1uk9RqzEPx8qMRsww2PlwZEz1-o3aU7ah9kjnvhJiDcE-1Yfgxp2C4Eg.8PSFlPnfVtD0t93gzVu-ZrXiWfMobbFTOsYHo2M2FcI&dib_tag=se&keywords=iphone+14&qid=1710022973&sr=8-3,,"58,999","4,628 ratings",-26%,,200+,,"Tuesday, 12 March","15.40 cm (6.1-inch) Super Retina XDR displayAdvanced camera system for better photos in any lightCinematic mode now in 4K Dolby Vision up to 30 fpsAction mode for smooth, steady, handheld videosVital safety technology — Crash Detection calls for help when you can’tAll-day battery life and up to 20 hours of video playbackIndustry-leading durability features with Ceramic Shield and water resistance"
Apple iPhone 14 (128 GB) - Purple,https://www.amazon.in/Apple-iPhone-14-128GB-Purple/dp/B0BDJ213TX/ref=sr_1_4?dib=eyJ2IjoiMSJ9.DmkQ0s9_Opq2A5G2HZfn5vI6CfH94gTwuiECHg-YFDeKeS50biksQGx_BlXS1kQlFcgYkDybpqy8XtOEHBqPfuxnWIehxhBcKBzCiJddXXznarT09HiF0CMPdiv0vz9KNQD0-l3ADKKDXdoddPhCERPrz50fuoYOHfR-jSY6PXW8zp2Hxrd1uk9RqzEPx8qMRsww2PlwZEz1-o3aU7ah9kjnvhJiDcE-1Yfgxp2C4Eg.8PSFlPnfVtD0t93gzVu-ZrXiWfMobbFTOsYHo2M2FcI&dib_tag=se&keywords=iphone+14&qid=1710022973&sr=8-4,,"58,999","4,628 ratings",-26%,,200+ bought in past month,,"Tuesday, 12 March","15.40 cm (6.1-inch) Super Retina XDR displayAdvanced camera system for better photos in any lightCinematic mode now in 4K Dolby Vision up to 30 fpsAction mode for smooth, steady, handheld videosVital safety technology — Crash Detection calls for help when you can’tAll-day battery life and up to 20 hours of video playbackIndustry-leading durability features with Ceramic Shield and water resistance"
Apple iPhone 14 (128 GB) - Midnight,https://www.amazon.in/Apple-iPhone-14-128GB-Midnight/dp/B0BDHX8Z63/ref=sr_1_5?dib=eyJ2IjoiMSJ9.DmkQ0s9_Opq2A5G2HZfn5vI6CfH94gTwuiECHg-YFDeKeS50biksQGx_BlXS1kQlFcgYkDybpqy8XtOEHBqPfuxnWIehxhBcKBzCiJddXXznarT09HiF0CMPdiv0vz9KNQD0-l3ADKKDXdoddPhCERPrz50fuoYOHfR-jSY6PXW8zp2Hxrd1uk9RqzEPx8qMRsww2PlwZEz1-o3aU7ah9kjnvhJiDcE-1Yfgxp2C4Eg.8PSFlPnfVtD0t93gzVu-ZrXiWfMobbFTOsYHo2M2FcI&dib_tag=se&keywords=iphone+14&qid=1710022973&sr=8-5,,"58,999","4,628 ratings",-16%,,100+ bought,,"Tuesday, 12 March","15.40 cm (6.1-inch) Super Retina XDR displayAdvanced camera system for better photos in any lightCinematic mode now in 4K Dolby Vision up to 30 fpsAction mode for smooth, steady, handheld videosVital safety technology — Crash Detection calls for help when you can’tAll-day battery life and up to 20 hours of video playbackIndustry-leading durability features with Ceramic Shield and water resistance"
Apple iPhone 14 (128 GB) - Starlight,https://www.amazon.in/Apple-iPhone-14-128GB-Starlight/dp/B0BDK8LKPJ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.DmkQ0s9_Opq2A5G2HZfn5vI6CfH94gTwuiECHg-YFDeKeS50biksQGx_BlXS1kQlFcgYkDybpqy8XtOEHBqPfuxnWIehxhBcKBzCiJddXXznarT09HiF0CMPdiv0vz9KNQD0-l3ADKKDXdoddPhCERPrz50fuoYOHfR-jSY6PXW8zp2Hxrd1uk9RqzEPx8qMRsww2PlwZEz1-o3aU7ah9kjnvhJiDcE-1Yfgxp2C4Eg.8PSFlPnfVtD0t93gzVu-ZrXiWfMobbFTOsYHo2M2FcI&dib_tag=se&keywords=iphone+14&qid=1710022973&sr=8-6,,"58,999","4,628 ratings",-16%,,100+ bought in past month,,"Tuesday, 12 March","15.40 cm (6.1-inch) Super Retina XDR displayAdvanced camera system for better photos in any lightCinematic mode now in 4K Dolby Vision up to 30 fpsAction mode for smooth, steady, handheld videosVital safety technology — Crash Detection calls for help when you can’tAll-day battery life and up to 20 hours of video playbackIndustry-leading durability features with Ceramic Shield and water resistance"
Apple iPhone 14 (128 GB) - (Product) RED,https://www.amazon.in/Apple-iPhone-128GB-Product-RED/dp/B0BDJVSDMY/ref=sr_1_7?dib=eyJ2IjoiMSJ9.DmkQ0s9_Opq2A5G2HZfn5vI6CfH94gTwuiECHg-YFDeKeS50biksQGx_BlXS1kQlFcgYkDybpqy8XtOEHBqPfuxnWIehxhBcKBzCiJddXXznarT09HiF0CMPdiv0vz9KNQD0-l3ADKKDXdoddPhCERPrz50fuoYOHfR-jSY6PXW8zp2Hxrd1uk9RqzEPx8qMRsww2PlwZEz1-o3aU7ah9kjnvhJiDcE-1Yfgxp2C4Eg.8PSFlPnfVtD0t93gzVu-ZrXiWfMobbFTOsYHo2M2FcI&dib_tag=se&keywords=iphone+14&qid=1710022973&sr=8-7,,"58,999","4,628 ratings",-16%,,,,"Tuesday, 12 March","15.40 cm (6.1-inch) Super Retina XDR displayAdvanced camera system for better photos in any lightCinematic mode now in 4K Dolby Vision up to 30 fpsAction mode for smooth, steady, handheld videosVital safety technology — Crash Detection calls for help when you can’tAll-day battery life and up to 20 hours of video playbackIndustry-leading durability features with Ceramic Shield and water resistance"
