Name,Link,Image_link,Price,Number_of_ratings,Discount,Fastes_delivery_date,Bought_last_month,About_iten,Fastest_delivery_date,About_item
"Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 32 GB, WiFi (Champagne Gold)",https://www.amazon.in/All-new-Kindle-Oasis/dp/B07L5JKKG8/ref=sr_1_3?dib=eyJ2IjoiMSJ9.DINnYsf879lvHT1J00qkfbwsBpfU6PrT_p6iTWHZ7vG0-uf5ZDHmqXEslkmGQGdvgpumef61nChpgvmz7Do7txZkWUOZMM3SDuQfB-r_9tBrpy3RkI7nOD4pCnXGl3yuzyvUxFB-vxEXuzGaWSMODJltqp3h9pUq-b63BqPJK_kmOw99I12VsvMsOjYU7e_ODI9hKG1OsYADsJOx_2wYID0xFSNYebEul4lFsVu98Es.pNH-qp1LBymsGzljqAdb4i9rKpSUv5FuVo89R0S6gug&dib_tag=se&keywords=kindle&qid=1710045131&sr=8-3,,,"1,297 ratings","₹24,999",,50+ bought,,"Tuesday, 12 March","Our largest, highest resolution display— 7” and 300 ppi, glare free.Built-in adjustable warm light.32 GB storage to hold even more books and comics.Waterproof.Prime members read free with unlimited access to hundreds of books, comics and more.Instant access to new releases. Holds thousands of titles so you can take your library with you.Keep reading - a single charge lasts weeks, not hours."
"Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 8 GB, WiFi (Graphite)",https://www.amazon.in/All-new-Kindle-Oasis/dp/B07L5HHTDX/ref=sr_1_4?dib=eyJ2IjoiMSJ9.DINnYsf879lvHT1J00qkfbwsBpfU6PrT_p6iTWHZ7vG0-uf5ZDHmqXEslkmGQGdvgpumef61nChpgvmz7Do7txZkWUOZMM3SDuQfB-r_9tBrpy3RkI7nOD4pCnXGl3yuzyvUxFB-vxEXuzGaWSMODJltqp3h9pUq-b63BqPJK_kmOw99I12VsvMsOjYU7e_ODI9hKG1OsYADsJOx_2wYID0xFSNYebEul4lFsVu98Es.pNH-qp1LBymsGzljqAdb4i9rKpSUv5FuVo89R0S6gug&dib_tag=se&keywords=kindle&qid=1710045131&sr=8-4,,,"1,297 ratings","₹21,999",,50+,,"Tuesday, 12 March","Our largest, highest resolution display— 7” and 300 ppi, glare free.Built-in adjustable warm light.Thin and light ergonomic design with dedicated page turn button. Faster page turns.8 GB storage to hold even more books.Waterproof.Prime members read free with unlimited access to hundreds of books, comics and more.Instant access to new releases. Holds thousands of titles so you can take your library with you."
"Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 32 GB, WiFi + Free 4G (Graphite)",https://www.amazon.in/All-new-Kindle-Oasis/dp/B07L5G6M1R/ref=sr_1_5?dib=eyJ2IjoiMSJ9.DINnYsf879lvHT1J00qkfbwsBpfU6PrT_p6iTWHZ7vG0-uf5ZDHmqXEslkmGQGdvgpumef61nChpgvmz7Do7txZkWUOZMM3SDuQfB-r_9tBrpy3RkI7nOD4pCnXGl3yuzyvUxFB-vxEXuzGaWSMODJltqp3h9pUq-b63BqPJK_kmOw99I12VsvMsOjYU7e_ODI9hKG1OsYADsJOx_2wYID0xFSNYebEul4lFsVu98Es.pNH-qp1LBymsGzljqAdb4i9rKpSUv5FuVo89R0S6gug&dib_tag=se&keywords=kindle&qid=1710045131&sr=8-5,,,"1,297 ratings","₹28,999",,,,"Tuesday, 12 March","Our largest, highest resolution display— 7” and 300 ppi, glare free.Built-in adjustable warm light.Thin and light ergonomic design with dedicated page turn button. Faster page turns.32 GB storage to hold even more books and comics.Waterproof.Prime members read free with unlimited access to hundreds of books, comics and more.Instant access to new releases. Holds thousands of titles so you can take your library with you."
Kindle,https://www.amazon.in/Kindle-Fuin-K-ebook/dp/B07VR8T3Z3/ref=sr_1_6?dib=eyJ2IjoiMSJ9.DINnYsf879lvHT1J00qkfbwsBpfU6PrT_p6iTWHZ7vG0-uf5ZDHmqXEslkmGQGdvgpumef61nChpgvmz7Do7txZkWUOZMM3SDuQfB-r_9tBrpy3RkI7nOD4pCnXGl3yuzyvUxFB-vxEXuzGaWSMODJltqp3h9pUq-b63BqPJK_kmOw99I12VsvMsOjYU7e_ODI9hKG1OsYADsJOx_2wYID0xFSNYebEul4lFsVu98Es.pNH-qp1LBymsGzljqAdb4i9rKpSUv5FuVo89R0S6gug&dib_tag=se&keywords=kindle&qid=1710045131&sr=8-6,,,,,,,,,
Kindle: Got the Amazon Prime and Lending Library?,https://www.amazon.in/Kindle-Amazon-Prime-Lending-Library-ebook/dp/B00DYM7KDG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.DINnYsf879lvHT1J00qkfbwsBpfU6PrT_p6iTWHZ7vG0-uf5ZDHmqXEslkmGQGdvgpumef61nChpgvmz7Do7txZkWUOZMM3SDuQfB-r_9tBrpy3RkI7nOD4pCnXGl3yuzyvUxFB-vxEXuzGaWSMODJltqp3h9pUq-b63BqPJK_kmOw99I12VsvMsOjYU7e_ODI9hKG1OsYADsJOx_2wYID0xFSNYebEul4lFsVu98Es.pNH-qp1LBymsGzljqAdb4i9rKpSUv5FuVo89R0S6gug&dib_tag=se&keywords=kindle&qid=1710045131&sr=8-7,,,,,,,,,
