Name,Link,Image_link,Price,Number_of_ratings,Discount,Fastes_delivery_date,Bought_last_month,About_iten,Fastest_delivery_date,About_item
"Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",https://www.amazon.in/Acer-Premium-Windows-AL15-41-Display/dp/B0CB7S1RTX/ref=sr_1_3?dib=eyJ2IjoiMSJ9.OyW3bZfpRCGLzsj8_3bcc902O98rkDf1SFanOt4dzQOGZdlrF_3NYdqQGnkFJkQjdu3QOxJc5m-et1t_vTt1A2N3v6oL41DuKw_pFklFaVcV3dhLsjbrjup750fDY8UprK-Xo2nysISIy86aLBo8ujbv1zS0GqUrW9sL9AtGB-W9VZbOhidkZD7uSZJtM4llmt4jGhWc6PXMnLXigIVhKlKUoGpjvhLxp49D4XGJf2Y.VIx4ng5g_hcPfcZTjLn_5rn6_ENGu9u7T0g7MOeUE0k&dib_tag=se&keywords=acer+laptop&qid=1710049031&sr=8-3,https://m.media-amazon.com/images/I/71czGb00k5L._SX679_.jpg,"36,990",332 ratings,-38%,,200+ bought in past month,,"Tuesday, 12 March","Processor : AMD Ryzen 5 5500U Hexa-Core Mobile Processor with AMD Radeon Graphics.Maximum Power Supply Wattage 45 WVisibly Stunning: Experience sharp details and crisp colors on the 15.6"" Full HD display, 16:9 aspect ratio, ultra-slim design and narrow bezels.Internal Specifications: RAM - 16 GB of Dual-channel DDR4, 2 SODIMM sockets; Storage - 512 GB SSD NVMe solid-state drive storage (expandable up to 1TB) to store your files and mediaPorts: 1 x USB 3.2 Gen 1 (Type A), 2 x USB 2.0 (Type A), 1 x USB 3.2 Gen 2 (Type C), 1 x DC-in jackKeyboard: 100-/101-/104-key keyboard with independent numeric keypad, international language support"
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg",https://www.amazon.in/Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.OyW3bZfpRCGLzsj8_3bcc902O98rkDf1SFanOt4dzQOGZdlrF_3NYdqQGnkFJkQjdu3QOxJc5m-et1t_vTt1A2N3v6oL41DuKw_pFklFaVcV3dhLsjbrjup750fDY8UprK-Xo2nysISIy86aLBo8ujbv1zS0GqUrW9sL9AtGB-W9VZbOhidkZD7uSZJtM4llmt4jGhWc6PXMnLXigIVhKlKUoGpjvhLxp49D4XGJf2Y.VIx4ng5g_hcPfcZTjLn_5rn6_ENGu9u7T0g7MOeUE0k&dib_tag=se&keywords=acer+laptop&qid=1710049031&sr=8-4,https://m.media-amazon.com/images/I/71czGb00k5L._SX679_.jpg,"32,990",85 ratings,-38%,,200+,,"Tuesday, 12 March","Powerful Productivity: 12th Generation Intel Core i3-1215U Dual Core processor delivers unmatched speed and intelligence, enabling impressive creating, productivity, and gaming experiences. With Turbo Boost Technology, get up to 4.4GHz for your high-demand applications. Connectivity Technology: Wi-Fi, Bluetooth, HDMIVisibly Stunning: Experience sharp details and crisp colors on the 15.6"" Full HD display, 16:9 aspect ratio, ultra-slim design and narrow bezels.Internal Specifications: RAM - 8 GB of Dual-channel DDR4, 2 SODIMM sockets; Storage - 512 GB SSD NVMe solid-state drive storage (expandable up to 1TB) to store your files and mediaPorts: one Type-C port, two USB 2.0 Type-A port, and one USB 3.2 Type-A port.Keyboard: 100-/101-/104-key keyboard with independent numeric keypad, international language support"
"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG",https://www.amazon.in/Acer-i5-1235U-Windows-Graphics-AL15-52/dp/B0CLTW4D7T/ref=sr_1_5?dib=eyJ2IjoiMSJ9.OyW3bZfpRCGLzsj8_3bcc902O98rkDf1SFanOt4dzQOGZdlrF_3NYdqQGnkFJkQjdu3QOxJc5m-et1t_vTt1A2N3v6oL41DuKw_pFklFaVcV3dhLsjbrjup750fDY8UprK-Xo2nysISIy86aLBo8ujbv1zS0GqUrW9sL9AtGB-W9VZbOhidkZD7uSZJtM4llmt4jGhWc6PXMnLXigIVhKlKUoGpjvhLxp49D4XGJf2Y.VIx4ng5g_hcPfcZTjLn_5rn6_ENGu9u7T0g7MOeUE0k&dib_tag=se&keywords=acer+laptop&qid=1710049031&sr=8-5,https://m.media-amazon.com/images/I/71czGb00k5L._SX679_.jpg,"45,790",26 ratings,-30%,,100+,,"Tuesday, 12 March","Processor : Great performance meets long battery life with the Intel Core i5-1235U Processor - up to 4.40 GHz, 10 cores, 12 threads, 12 MB Intel Smart CacheVisibly Stunning: Experience sharp details and crisp colors on the 15.6"" Full HD display, 16:9 aspect ratio, ultra-slim design and narrow bezels.RAM : 16 GB DDR4 RAM, Storage : 512 GB SSD || Operating System : Windows 11 Home, Graphic : Intel Iris Xe GraphicsPorts: one Type-C, two Type-A USB 2.0 port, and one Type-A USB 3.2 port.Keyboard: 100-/101-/104-key keyboard with independent numeric keypad, international language support"
"Acer One 14 Business Laptop AMD Ryzen 3 3250U Processor (8GB RAM/256GB SSD/AMD Radeon Graphics/Windows 11 Home) Z2-493 with 35.56 cm (14.0"") HD Display",https://www.amazon.in/Acer-Business-Processor-Graphics-Z2-493/dp/B0B42QJMJP/ref=sr_1_6?dib=eyJ2IjoiMSJ9.OyW3bZfpRCGLzsj8_3bcc902O98rkDf1SFanOt4dzQOGZdlrF_3NYdqQGnkFJkQjdu3QOxJc5m-et1t_vTt1A2N3v6oL41DuKw_pFklFaVcV3dhLsjbrjup750fDY8UprK-Xo2nysISIy86aLBo8ujbv1zS0GqUrW9sL9AtGB-W9VZbOhidkZD7uSZJtM4llmt4jGhWc6PXMnLXigIVhKlKUoGpjvhLxp49D4XGJf2Y.VIx4ng5g_hcPfcZTjLn_5rn6_ENGu9u7T0g7MOeUE0k&dib_tag=se&keywords=acer+laptop&qid=1710049031&sr=8-6,https://m.media-amazon.com/images/I/61HjuZI+z2L._SX679_.jpg,"26,990",415 ratings,-39%,,100+ bought in past month,,"Tuesday, 12 March","High Performance : Encounter high speed processing with the AMD Ryzen 3 3250U Processor of 2 cores and up to 3.5GHz of Max Turbo Boost;OS : Windows 11 HomeVarious Connectivity Options : HDMI, USB 3.2, Gen 1, Type A & C ports;Fast connectivity through Gigabit LANTwo memory DIMM slots for expandibility;Great Productivity With 8GB of DDR4 system memory, upgradable to 32 GB using two soDIMM modules and 256 GB, PCIe Gen3, 8 Gb/s, NVMe SSD now you can resume work faster than ever14"" HD 1366 x 768 resolution with Anti glare LED backlit TFT LCD Display showcases movies, games and photos with impressive clarity;0; 0Software Included: Webcam; Display Resolution Maximum: 1366 X 768 (Hd); Human Interface Input: Keyboard; Wireless Communication Technology: Wi-Fi"
